RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Viajero,10018537,2025,4,Abril
Total,,Viajero,7680722,2025,3,Marzo
Total,,Viajero,6539960,2025,2,Febrero
Total,,Viajero,5776075,2025,1,Enero
Total,,Viajero,6553489,2024,12,Diciembre
Total,,Viajero,7171221,2024,11,Noviembre
Total,,Viajero,10774309,2024,10,Octubre
Total,,Viajero,11821379,2024,9,Septiembre
Total,,Viajero,13586095,2024,8,Agosto
Total,,Viajero,12703213,2024,7,Julio
Total,,Viajero,11905082,2024,6,Junio
Total,,Viajero,11776729,2024,5,Mayo
Total,,Viajero,9386103,2024,4,Abril
Total,,Viajero,8433226,2024,3,Marzo
Total,,Viajero,6512168,2024,2,Febrero
Total,,Viajero,5660859,2024,1,Enero
Total,,Viajero,6586138,2023,12,Diciembre
Total,,Viajero,6798815,2023,11,Noviembre
Total,,Viajero,10390441,2023,10,Octubre
Total,,Viajero,11627872,2023,9,Septiembre
Total,,Viajero,13266497,2023,8,Agosto
Total,,Viajero,12680483,2023,7,Julio
Total,,Viajero,11535550,2023,6,Junio
Total,,Viajero,10580202,2023,5,Mayo
Total,,Viajero,9829384,2023,4,Abril
Total,,Viajero,7361364,2023,3,Marzo
Total,,Viajero,5967064,2023,2,Febrero
Total,,Viajero,5367962,2023,1,Enero
Total,,Viajero,6054556,2022,12,Diciembre
Total,,Viajero,6284698,2022,11,Noviembre
Total,,Viajero,9743259,2022,10,Octubre
Total,,Viajero,11050305,2022,9,Septiembre
Total,,Viajero,12889916,2022,8,Agosto
Total,,Viajero,12292936,2022,7,Julio
Total,,Viajero,10990468,2022,6,Junio
Total,,Viajero,9920671,2022,5,Mayo
Total,,Viajero,8689822,2022,4,Abril
Total,,Viajero,6061398,2022,3,Marzo
Total,,Viajero,5133961,2022,2,Febrero
Total,,Viajero,3770578,2022,1,Enero
Total,,Viajero,4881952,2021,12,Diciembre
Total,,Viajero,5391958,2021,11,Noviembre
Total,,Viajero,8131666,2021,10,Octubre
Total,,Viajero,8256057,2021,9,Septiembre
Total,,Viajero,10408035,2021,8,Agosto
Total,,Viajero,8544001,2021,7,Julio
Total,,Viajero,5676067,2021,6,Junio
Total,,Viajero,3404118,2021,5,Mayo
Total,,Viajero,1955719,2021,4,Abril
Total,,Viajero,1770722,2021,3,Marzo
Total,,Viajero,1179236,2021,2,Febrero
Total,,Viajero,1124601,2021,1,Enero
Total,,Viajero,1417815,2020,12,Diciembre
Total,,Viajero,1184922,2020,11,Noviembre
Total,,Viajero,2406759,2020,10,Octubre
Total,,Viajero,3513294,2020,9,Septiembre
Total,,Viajero,5924218,2020,8,Agosto
Total,,Viajero,4407783,2020,7,Julio
Total,,Viajero,944923,2020,6,Junio
Total,,Viajero,98561,2020,5,Mayo
Total,,Viajero,,2020,4,Abril
Total,,Viajero,2656776,2020,3,Marzo
Total,,Viajero,6456402,2020,2,Febrero
Total,,Viajero,5577618,2020,1,Enero
Total,,Viajero,6240788,2019,12,Diciembre
Total,,Viajero,6693210,2019,11,Noviembre
Total,,Viajero,9772631,2019,10,Octubre
Total,,Viajero,11038778,2019,9,Septiembre
Total,,Viajero,13028096,2019,8,Agosto
Total,,Viajero,12124664,2019,7,Julio
Total,,Viajero,11371775,2019,6,Junio
Total,,Viajero,10509949,2019,5,Mayo
Total,,Viajero,9138989,2019,4,Abril
Total,,Viajero,7534311,2019,3,Marzo
Total,,Viajero,6011298,2019,2,Febrero
Total,,Viajero,5251558,2019,1,Enero
Total,,Viajero,6071139,2018,12,Diciembre
Total,,Viajero,6485702,2018,11,Noviembre
Total,,Viajero,9666570,2018,10,Octubre
Total,,Viajero,11000902,2018,9,Septiembre
Total,,Viajero,12500596,2018,8,Agosto
Total,,Viajero,11707840,2018,7,Julio
Total,,Viajero,10846347,2018,6,Junio
Total,,Viajero,10040281,2018,5,Mayo
Total,,Viajero,8499926,2018,4,Abril
Total,,Viajero,7532288,2018,3,Marzo
Total,,Viajero,5826145,2018,2,Febrero
Total,,Viajero,5133729,2018,1,Enero
Total,,Viajero,5805767,2017,12,Diciembre
Total,,Viajero,6068289,2017,11,Noviembre
Total,,Viajero,9458368,2017,10,Octubre
Total,,Viajero,10933324,2017,9,Septiembre
Total,,Viajero,12338502,2017,8,Agosto
Total,,Viajero,11910574,2017,7,Julio
Total,,Viajero,10640606,2017,6,Junio
Total,,Viajero,9844007,2017,5,Mayo
Total,,Viajero,9209286,2017,4,Abril
Total,,Viajero,6921086,2017,3,Marzo
Total,,Viajero,5689624,2017,2,Febrero
Total,,Viajero,4984634,2017,1,Enero
Total,,Viajero,5540097,2016,12,Diciembre
Total,,Viajero,5786675,2016,11,Noviembre
Total,,Viajero,9274924,2016,10,Octubre
Total,,Viajero,10486719,2016,9,Septiembre
Total,,Viajero,12187504,2016,8,Agosto
Total,,Viajero,11605320,2016,7,Julio
Total,,Viajero,10180427,2016,6,Junio
Total,,Viajero,9569945,2016,5,Mayo
Total,,Viajero,7735455,2016,4,Abril
Total,,Viajero,7221796,2016,3,Marzo
Total,,Viajero,5561906,2016,2,Febrero
Total,,Viajero,4689264,2016,1,Enero
Total,,Viajero,5318037,2015,12,Diciembre
Total,,Viajero,5509265,2015,11,Noviembre
Total,,Viajero,8685869,2015,10,Octubre
Total,,Viajero,9766395,2015,9,Septiembre
Total,,Viajero,11747649,2015,8,Agosto
Total,,Viajero,10616662,2015,7,Julio
Total,,Viajero,9481768,2015,6,Junio
Total,,Viajero,9087139,2015,5,Mayo
Total,,Viajero,7668482,2015,4,Abril
Total,,Viajero,6146078,2015,3,Marzo
Total,,Viajero,4937718,2015,2,Febrero
Total,,Viajero,4251906,2015,1,Enero
Total,,Viajero,4998810,2014,12,Diciembre
Total,,Viajero,5144062,2014,11,Noviembre
Total,,Viajero,7988684,2014,10,Octubre
Total,,Viajero,9342635,2014,9,Septiembre
Total,,Viajero,11228638,2014,8,Agosto
Total,,Viajero,9885449,2014,7,Julio
Total,,Viajero,9038987,2014,6,Junio
Total,,Viajero,8518421,2014,5,Mayo
Total,,Viajero,7301730,2014,4,Abril
Total,,Viajero,5770836,2014,3,Marzo
Total,,Viajero,4657133,2014,2,Febrero
Total,,Viajero,3939144,2014,1,Enero
Total,,Viajero,4659511,2013,12,Diciembre
Total,,Viajero,5112181,2013,11,Noviembre
Total,,Viajero,7468192,2013,10,Octubre
Total,,Viajero,8886542,2013,9,Septiembre
Total,,Viajero,10715764,2013,8,Agosto
Total,,Viajero,9644412,2013,7,Julio
Total,,Viajero,8725022,2013,6,Junio
Total,,Viajero,8113029,2013,5,Mayo
Total,,Viajero,6283128,2013,4,Abril
Total,,Viajero,6171037,2013,3,Marzo
Total,,Viajero,4347642,2013,2,Febrero
Total,,Viajero,3694459,2013,1,Enero
Total,,Viajero,4334680,2012,12,Diciembre
Total,,Viajero,4772075,2012,11,Noviembre
Total,,Viajero,7258395,2012,10,Octubre
Total,,Viajero,8756163,2012,9,Septiembre
Total,,Viajero,10239776,2012,8,Agosto
Total,,Viajero,9616052,2012,7,Julio
Total,,Viajero,8587613,2012,6,Junio
Total,,Viajero,7725234,2012,5,Mayo
Total,,Viajero,7103715,2012,4,Abril
Total,,Viajero,5771561,2012,3,Marzo
Total,,Viajero,4762348,2012,2,Febrero
Total,,Viajero,4034869,2012,1,Enero
Total,,Viajero,4594592,2011,12,Diciembre
Total,,Viajero,4902197,2011,11,Noviembre
Total,,Viajero,7673432,2011,10,Octubre
Total,,Viajero,8916593,2011,9,Septiembre
Total,,Viajero,10608293,2011,8,Agosto
