,Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Periodo,Total,Año,Mes
0,Total Nacional,,,Viajero,2025M04,10.018.537,2025,4
1,Total Nacional,,,Viajero,2025M03,7.680.722,2025,3
2,Total Nacional,,,Viajero,2025M02,6.539.960,2025,2
3,Total Nacional,,,Viajero,2025M01,5.776.075,2025,1
4,Total Nacional,,,Viajero,2024M12,6.553.489,2024,12
5,Total Nacional,,,Viajero,2024M11,7.171.221,2024,11
6,Total Nacional,,,Viajero,2024M10,10.774.309,2024,10
7,Total Nacional,,,Viajero,2024M09,11.821.379,2024,9
8,Total Nacional,,,Viajero,2024M08,13.586.095,2024,8
9,Total Nacional,,,Viajero,2024M07,12.703.213,2024,7
10,Total Nacional,,,Viajero,2024M06,11.905.082,2024,6
11,Total Nacional,,,Viajero,2024M05,11.776.729,2024,5
12,Total Nacional,,,Viajero,2024M04,9.386.103,2024,4
13,Total Nacional,,,Viajero,2024M03,8.433.226,2024,3
14,Total Nacional,,,Viajero,2024M02,6.512.168,2024,2
15,Total Nacional,,,Viajero,2024M01,5.660.859,2024,1
16,Total Nacional,,,Viajero,2023M12,6.586.138,2023,12
17,Total Nacional,,,Viajero,2023M11,6.798.815,2023,11
18,Total Nacional,,,Viajero,2023M10,10.390.441,2023,10
19,Total Nacional,,,Viajero,2023M09,11.627.872,2023,9
20,Total Nacional,,,Viajero,2023M08,13.266.497,2023,8
21,Total Nacional,,,Viajero,2023M07,12.680.483,2023,7
22,Total Nacional,,,Viajero,2023M06,11.535.550,2023,6
23,Total Nacional,,,Viajero,2023M05,10.580.202,2023,5
24,Total Nacional,,,Viajero,2023M04,9.829.384,2023,4
25,Total Nacional,,,Viajero,2023M03,7.361.364,2023,3
26,Total Nacional,,,Viajero,2023M02,5.967.064,2023,2
27,Total Nacional,,,Viajero,2023M01,5.367.962,2023,1
28,Total Nacional,,,Viajero,2022M12,6.054.556,2022,12
29,Total Nacional,,,Viajero,2022M11,6.284.698,2022,11
30,Total Nacional,,,Viajero,2022M10,9.743.259,2022,10
31,Total Nacional,,,Viajero,2022M09,11.050.305,2022,9
32,Total Nacional,,,Viajero,2022M08,12.889.916,2022,8
33,Total Nacional,,,Viajero,2022M07,12.292.936,2022,7
34,Total Nacional,,,Viajero,2022M06,10.990.468,2022,6
35,Total Nacional,,,Viajero,2022M05,9.920.671,2022,5
36,Total Nacional,,,Viajero,2022M04,8.689.822,2022,4
37,Total Nacional,,,Viajero,2022M03,6.061.398,2022,3
38,Total Nacional,,,Viajero,2022M02,5.133.961,2022,2
39,Total Nacional,,,Viajero,2022M01,3.770.578,2022,1
40,Total Nacional,,,Viajero,2021M12,4.881.952,2021,12
41,Total Nacional,,,Viajero,2021M11,5.391.958,2021,11
42,Total Nacional,,,Viajero,2021M10,8.131.666,2021,10
43,Total Nacional,,,Viajero,2021M09,8.256.057,2021,9
44,Total Nacional,,,Viajero,2021M08,10.408.035,2021,8
45,Total Nacional,,,Viajero,2021M07,8.544.001,2021,7
46,Total Nacional,,,Viajero,2021M06,5.676.067,2021,6
47,Total Nacional,,,Viajero,2021M05,3.404.118,2021,5
48,Total Nacional,,,Viajero,2021M04,1.955.719,2021,4
49,Total Nacional,,,Viajero,2021M03,1.770.722,2021,3
50,Total Nacional,,,Viajero,2021M02,1.179.236,2021,2
51,Total Nacional,,,Viajero,2021M01,1.124.601,2021,1
52,Total Nacional,,,Viajero,2020M12,1.417.815,2020,12
53,Total Nacional,,,Viajero,2020M11,1.184.922,2020,11
54,Total Nacional,,,Viajero,2020M10,2.406.759,2020,10
55,Total Nacional,,,Viajero,2020M09,3.513.294,2020,9
56,Total Nacional,,,Viajero,2020M08,5.924.218,2020,8
57,Total Nacional,,,Viajero,2020M07,4.407.783,2020,7
58,Total Nacional,,,Viajero,2020M06,944.923,2020,6
59,Total Nacional,,,Viajero,2020M05,98.561,2020,5
60,Total Nacional,,,Viajero,2020M04,0,2020,4
61,Total Nacional,,,Viajero,2020M03,2.656.776,2020,3
62,Total Nacional,,,Viajero,2020M02,6.456.402,2020,2
