Puntos turísticos;Periodo;Total
01059 Vitoria-Gasteiz;2025M04;2,22
01059 Vitoria-Gasteiz;2025M03;2,27
01059 Vitoria-Gasteiz;2025M02;2,19
01059 Vitoria-Gasteiz;2025M01;2,33
01059 Vitoria-Gasteiz;2024M12;2,23
01059 Vitoria-Gasteiz;2024M11;2,33
01059 Vitoria-Gasteiz;2024M10;2,12
01059 Vitoria-Gasteiz;2024M09;2,07
01059 Vitoria-Gasteiz;2024M08;2
01059 Vitoria-Gasteiz;2024M07;2,04
01059 Vitoria-Gasteiz;2024M06;2,13
01059 Vitoria-Gasteiz;2024M05;1,99
01059 Vitoria-Gasteiz;2024M04;2,08
01059 Vitoria-Gasteiz;2024M03;2,15
01059 Vitoria-Gasteiz;2024M02;2,27
01059 Vitoria-Gasteiz;2024M01;2,29
01059 Vitoria-Gasteiz;2023M12;2,16
01059 Vitoria-Gasteiz;2023M11;2,25
01059 Vitoria-Gasteiz;2023M10;2,31
01059 Vitoria-Gasteiz;2023M09;2,18
01059 Vitoria-Gasteiz;2023M08;2,05
01059 Vitoria-Gasteiz;2023M07;2
01059 Vitoria-Gasteiz;2023M06;2,04
01059 Vitoria-Gasteiz;2023M05;1,95
01059 Vitoria-Gasteiz;2023M04;2,01
01059 Vitoria-Gasteiz;2023M03;2,05
01059 Vitoria-Gasteiz;2023M02;2,21
01059 Vitoria-Gasteiz;2023M01;1,96
01059 Vitoria-Gasteiz;2022M12;1,98
01059 Vitoria-Gasteiz;2022M11;2,07
01059 Vitoria-Gasteiz;2022M10;2,05
01059 Vitoria-Gasteiz;2022M09;1,95
01059 Vitoria-Gasteiz;2022M08;1,9
01059 Vitoria-Gasteiz;2022M07;1,85
01059 Vitoria-Gasteiz;2022M06;1,99
01059 Vitoria-Gasteiz;2022M05;1,99
01059 Vitoria-Gasteiz;2022M04;1,93
01059 Vitoria-Gasteiz;2022M03;2,04
01059 Vitoria-Gasteiz;2022M02;2,06
01059 Vitoria-Gasteiz;2022M01;2,06
01059 Vitoria-Gasteiz;2021M12;2,06
