Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Viajero;Total;;2025M04;""
Viajero;Total;;2025M03;""
Viajero;Total;;2025M02;""
Viajero;Total;;2025M01;""
Viajero;Total;;2024M12;0,64
Viajero;Total;;2024M11;0,64
Viajero;Total;;2024M10;0,57
Viajero;Total;;2024M09;0,5
Viajero;Total;;2024M08;0,47
Viajero;Total;;2024M07;0,51
Viajero;Total;;2024M06;0,56
Viajero;Total;;2024M05;0,53
Viajero;Total;;2024M04;0,49
Viajero;Total;;2024M03;0,54
Viajero;Total;;2024M02;0,56
Viajero;Total;;2024M01;0,68
Viajero;Total;;2023M12;0,59
Viajero;Total;;2023M11;0,51
Viajero;Total;;2023M10;0,53
Viajero;Total;;2023M09;0,43
Viajero;Total;;2023M08;0,42
Viajero;Total;;2023M07;0,43
Viajero;Total;;2023M06;0,49
Viajero;Total;;2023M05;0,49
Viajero;Total;;2023M04;0,42
Viajero;Total;;2023M03;0,49
Viajero;Total;;2023M02;0,5
Viajero;Total;;2023M01;0,57
Viajero;Total;;2022M12;0,54
Viajero;Total;;2022M11;0,48
Viajero;Total;;2022M10;0,54
Viajero;Total;;2022M09;0,45
Viajero;Total;;2022M08;0,4
Viajero;Total;;2022M07;0,43
Viajero;Total;;2022M06;0,45
Viajero;Total;;2022M05;0,49
Viajero;Total;;2022M04;0,43
Viajero;Total;;2022M03;0,47
Viajero;Total;;2022M02;0,53
Viajero;Total;;2022M01;0,7
Viajero;Total;;2021M12;0,51
Viajero;Total;;2021M11;0,45
Viajero;Total;;2021M10;0,47
Viajero;Total;;2021M09;0,45
Viajero;Total;;2021M08;0,43
Viajero;Total;;2021M07;0,43
Viajero;Total;;2021M06;0,5
Viajero;Total;;2021M05;0,56
Viajero;Total;;2021M04;0,78
Viajero;Total;;2021M03;0,8
Viajero;Total;;2021M02;1,02
Viajero;Total;;2021M01;1,16
Viajero;Total;;2020M12;1,06
Viajero;Total;;2020M11;1,01
Viajero;Total;;2020M10;0,69
Viajero;Total;;2020M09;0,64
Viajero;Total;;2020M08;0,61
Viajero;Total;;2020M07;0,63
Viajero;Total;;2020M06;1,16
Viajero;Total;;2020M05;3,75
Viajero;Total;;2020M04;..
Viajero;Total;;2020M03;1,43
Viajero;Total;;2020M02;0,47
Viajero;Total;;2020M01;0,56
Viajero;Total;;2019M12;0,57
Viajero;Total;;2019M11;0,42
Viajero;Total;;2019M10;0,44
Viajero;Total;;2019M09;0,4
Viajero;Total;;2019M08;0,38
Viajero;Total;;2019M07;0,39
Viajero;Total;;2019M06;0,4
Viajero;Total;;2019M05;0,44
Viajero;Total;;2019M04;0,48
Viajero;Total;;2019M03;0,46
Viajero;Total;;2019M02;0,47
Viajero;Total;;2019M01;0,56
Viajero;Total;;2018M12;0,55
Viajero;Total;;2018M11;0,49
Viajero;Total;;2018M10;0,44
Viajero;Total;;2018M09;0,38
Viajero;Total;;2018M08;0,37
Viajero;Total;;2018M07;0,41
Viajero;Total;;2018M06;0,43
Viajero;Total;;2018M05;0,42
Viajero;Total;;2018M04;0,43
Viajero;Total;;2018M03;0,41
Viajero;Total;;2018M02;0,46
Viajero;Total;;2018M01;0,54
Viajero;Total;;2017M12;0,51
Viajero;Total;;2017M11;0,46
Viajero;Total;;2017M10;0,46
Viajero;Total;;2017M09;0,4
Viajero;Total;;2017M08;0,39
Viajero;Total;;2017M07;0,43
Viajero;Total;;2017M06;0,39
Viajero;Total;;2017M05;0,44
Viajero;Total;;2017M04;0,43
Viajero;Total;;2017M03;0,41
Viajero;Total;;2017M02;0,41
Viajero;Total;;2017M01;0,52
Viajero;Total;;2016M12;0,48
Viajero;Total;;2016M11;0,39
Viajero;Total;;2016M10;0,44
