Establecimientos y personal empleado (plazas);Periodo;Total
Número de establecimientos abiertos estimados;2025M04;0,08
Número de establecimientos abiertos estimados;2025M03;-3,57
Número de establecimientos abiertos estimados;2025M02;-1,5
Número de establecimientos abiertos estimados;2025M01;-0,85
Número de establecimientos abiertos estimados;2024M12;0,24
Número de establecimientos abiertos estimados;2024M11;1,45
Número de establecimientos abiertos estimados;2024M10;0,64
Número de establecimientos abiertos estimados;2024M09;0,06
Número de establecimientos abiertos estimados;2024M08;-0,58
Número de establecimientos abiertos estimados;2024M07;-0,25
Número de establecimientos abiertos estimados;2024M06;0,22
Número de establecimientos abiertos estimados;2024M05;1,53
Número de establecimientos abiertos estimados;2024M04;0,96
Número de establecimientos abiertos estimados;2024M03;5,04
Número de establecimientos abiertos estimados;2024M02;0,92
Número de establecimientos abiertos estimados;2024M01;-0,23
Número de establecimientos abiertos estimados;2023M12;2,36
Número de establecimientos abiertos estimados;2023M11;2,72
Número de establecimientos abiertos estimados;2023M10;3,22
Número de establecimientos abiertos estimados;2023M09;2,05
Número de establecimientos abiertos estimados;2023M08;1,7
Número de establecimientos abiertos estimados;2023M07;1,72
Número de establecimientos abiertos estimados;2023M06;2,37
Número de establecimientos abiertos estimados;2023M05;2,42
Número de establecimientos abiertos estimados;2023M04;2,38
Número de establecimientos abiertos estimados;2023M03;3,19
Número de establecimientos abiertos estimados;2023M02;4,26
Número de establecimientos abiertos estimados;2023M01;4,91
Número de establecimientos abiertos estimados;2022M12;4,18
Número de establecimientos abiertos estimados;2022M11;4,49
Número de establecimientos abiertos estimados;2022M10;7,68
Número de establecimientos abiertos estimados;2022M09;9,56
Número de establecimientos abiertos estimados;2022M08;10,15
Número de establecimientos abiertos estimados;2022M07;12,43
Número de establecimientos abiertos estimados;2022M06;22,94
Número de establecimientos abiertos estimados;2022M05;45,07
Número de establecimientos abiertos estimados;2022M04;56
Número de establecimientos abiertos estimados;2022M03;50,73
Número de establecimientos abiertos estimados;2022M02;58,36
Número de establecimientos abiertos estimados;2022M01;47,9
Número de establecimientos abiertos estimados;2021M12;45,15
Número de establecimientos abiertos estimados;2021M11;45,47
Número de establecimientos abiertos estimados;2021M10;28,58
Número de establecimientos abiertos estimados;2021M09;19,4
Número de establecimientos abiertos estimados;2021M08;14,55
Número de establecimientos abiertos estimados;2021M07;19,26
Número de establecimientos abiertos estimados;2021M06;116,52
Número de establecimientos abiertos estimados;2021M05;573,22
Número de establecimientos abiertos estimados;2021M04;..
Número de establecimientos abiertos estimados;2021M03;-21,02
Número de establecimientos abiertos estimados;2021M02;-41,85
Número de establecimientos abiertos estimados;2021M01;-38,64
Número de establecimientos abiertos estimados;2020M12;-38,09
Número de establecimientos abiertos estimados;2020M11;-38,38
Número de establecimientos abiertos estimados;2020M10;-30,92
Número de establecimientos abiertos estimados;2020M09;-25,72
Número de establecimientos abiertos estimados;2020M08;-22,62
Número de establecimientos abiertos estimados;2020M07;-27,95
Número de establecimientos abiertos estimados;2020M06;-64,02
Número de establecimientos abiertos estimados;2020M05;-90,26
Número de establecimientos abiertos estimados;2020M04;-100
Número de establecimientos abiertos estimados;2020M03;-21,83
Número de establecimientos abiertos estimados;2020M02;-0,28
Número de establecimientos abiertos estimados;2020M01;0,6
Número de establecimientos abiertos estimados;2019M12;1,3
Número de establecimientos abiertos estimados;2019M11;1,78
Número de establecimientos abiertos estimados;2019M10;1,33
Número de establecimientos abiertos estimados;2019M09;1,11
Número de establecimientos abiertos estimados;2019M08;0,42
Número de establecimientos abiertos estimados;2019M07;1,13
Número de establecimientos abiertos estimados;2019M06;0,6
Número de establecimientos abiertos estimados;2019M05;2,1
Número de establecimientos abiertos estimados;2019M04;1,57
Número de establecimientos abiertos estimados;2019M03;-0,06
Número de establecimientos abiertos estimados;2019M02;0,8
Número de establecimientos abiertos estimados;2019M01;0,53
Número de establecimientos abiertos estimados;2018M12;0,38
Número de establecimientos abiertos estimados;2018M11;0,72
Número de establecimientos abiertos estimados;2018M10;0,33
Número de establecimientos abiertos estimados;2018M09;0,29
Número de establecimientos abiertos estimados;2018M08;-0,62
Número de establecimientos abiertos estimados;2018M07;0,03
Número de establecimientos abiertos estimados;2018M06;0,77
Número de establecimientos abiertos estimados;2018M05;-0,6
Número de establecimientos abiertos estimados;2018M04;-0,85
Número de establecimientos abiertos estimados;2018M03;0,99
Número de establecimientos abiertos estimados;2018M02;-1,03
Número de establecimientos abiertos estimados;2018M01;-1,47
Número de establecimientos abiertos estimados;2017M12;-0,54
Número de establecimientos abiertos estimados;2017M11;0,21
Número de establecimientos abiertos estimados;2017M10;0,14
Número de establecimientos abiertos estimados;2017M09;-1,08
Número de establecimientos abiertos estimados;2017M08;0,13
Número de establecimientos abiertos estimados;2017M07;-0,05
Número de establecimientos abiertos estimados;2017M06;-0,05
Número de establecimientos abiertos estimados;2017M05;0,65
Número de establecimientos abiertos estimados;2017M04;1,36
Número de establecimientos abiertos estimados;2017M03;-2,22
Número de establecimientos abiertos estimados;2017M02;0,69
Número de establecimientos abiertos estimados;2017M01;0,28
Número de establecimientos abiertos estimados;2016M12;1
Número de establecimientos abiertos estimados;2016M11;-0,48
Número de establecimientos abiertos estimados;2016M10;0,4
Número de establecimientos abiertos estimados;2016M09;0,93
Número de establecimientos abiertos estimados;2016M08;0,7
Número de establecimientos abiertos estimados;2016M07;0,61
Número de establecimientos abiertos estimados;2016M06;0,7
Número de establecimientos abiertos estimados;2016M05;0,87
Número de establecimientos abiertos estimados;2016M04;0,14
Número de establecimientos abiertos estimados;2016M03;4,26
Número de establecimientos abiertos estimados;2016M02;1,16
Número de establecimientos abiertos estimados;2016M01;0,93
Número de establecimientos abiertos estimados;2015M12;-1,47
Número de establecimientos abiertos estimados;2015M11;-0,94
Número de establecimientos abiertos estimados;2015M10;-0,44
Número de establecimientos abiertos estimados;2015M09;-0,81
Número de establecimientos abiertos estimados;2015M08;0,17
Número de establecimientos abiertos estimados;2015M07;-0,29
