Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Viajero;Total;;2025M04;6,74
Viajero;Total;;2025M03;-8,92
Viajero;Total;;2025M02;0,43
Viajero;Total;;2025M01;2,04
Viajero;Total;;2024M12;-0,5
Viajero;Total;;2024M11;5,48
Viajero;Total;;2024M10;3,69
Viajero;Total;;2024M09;1,66
Viajero;Total;;2024M08;2,41
Viajero;Total;;2024M07;0,18
Viajero;Total;;2024M06;3,2
Viajero;Total;;2024M05;11,31
Viajero;Total;;2024M04;-4,51
Viajero;Total;;2024M03;14,56
Viajero;Total;;2024M02;9,14
Viajero;Total;;2024M01;5,46
Viajero;Total;;2023M12;8,78
Viajero;Total;;2023M11;8,18
Viajero;Total;;2023M10;6,64
Viajero;Total;;2023M09;5,23
Viajero;Total;;2023M08;2,92
Viajero;Total;;2023M07;3,15
Viajero;Total;;2023M06;4,96
Viajero;Total;;2023M05;6,65
Viajero;Total;;2023M04;13,11
Viajero;Total;;2023M03;21,45
Viajero;Total;;2023M02;16,23
Viajero;Total;;2023M01;42,36
Viajero;Total;;2022M12;24,02
Viajero;Total;;2022M11;16,56
Viajero;Total;;2022M10;19,82
Viajero;Total;;2022M09;33,84
Viajero;Total;;2022M08;23,85
Viajero;Total;;2022M07;43,88
Viajero;Total;;2022M06;93,63
Viajero;Total;;2022M05;191,43
Viajero;Total;;2022M04;344,33
Viajero;Total;;2022M03;242,31
Viajero;Total;;2022M02;335,36
Viajero;Total;;2022M01;235,28
Viajero;Total;;2021M12;244,33
Viajero;Total;;2021M11;355,05
Viajero;Total;;2021M10;237,87
Viajero;Total;;2021M09;134,99
Viajero;Total;;2021M08;75,69
Viajero;Total;;2021M07;93,84
Viajero;Total;;2021M06;500,69
Viajero;Total;;2021M05;3.353,81
Viajero;Total;;2021M04;..
Viajero;Total;;2021M03;-33,35
Viajero;Total;;2021M02;-81,74
Viajero;Total;;2021M01;-79,84
Viajero;Total;;2020M12;-77,28
Viajero;Total;;2020M11;-82,3
Viajero;Total;;2020M10;-75,37
Viajero;Total;;2020M09;-68,17
Viajero;Total;;2020M08;-54,53
Viajero;Total;;2020M07;-63,65
Viajero;Total;;2020M06;-91,69
Viajero;Total;;2020M05;-99,06
Viajero;Total;;2020M04;-100
Viajero;Total;;2020M03;-64,74
Viajero;Total;;2020M02;7,4
Viajero;Total;;2020M01;6,21
Viajero;Total;;2019M12;2,79
Viajero;Total;;2019M11;3,2
Viajero;Total;;2019M10;1,1
Viajero;Total;;2019M09;0,34
Viajero;Total;;2019M08;4,22
Viajero;Total;;2019M07;3,56
Viajero;Total;;2019M06;4,84
Viajero;Total;;2019M05;4,68
Viajero;Total;;2019M04;7,52
Viajero;Total;;2019M03;0,03
Viajero;Total;;2019M02;3,18
Viajero;Total;;2019M01;2,3
Viajero;Total;;2018M12;4,57
Viajero;Total;;2018M11;6,88
Viajero;Total;;2018M10;2,2
Viajero;Total;;2018M09;0,62
Viajero;Total;;2018M08;1,31
Viajero;Total;;2018M07;-1,7
Viajero;Total;;2018M06;1,93
Viajero;Total;;2018M05;1,99
Viajero;Total;;2018M04;-7,7
Viajero;Total;;2018M03;8,83
Viajero;Total;;2018M02;2,4
Viajero;Total;;2018M01;2,99
Viajero;Total;;2017M12;4,8
Viajero;Total;;2017M11;4,87
Viajero;Total;;2017M10;1,98
Viajero;Total;;2017M09;4,26
Viajero;Total;;2017M08;1,24
Viajero;Total;;2017M07;2,63
Viajero;Total;;2017M06;4,52
Viajero;Total;;2017M05;2,86
Viajero;Total;;2017M04;19,05
Viajero;Total;;2017M03;-4,16
Viajero;Total;;2017M02;2,3
Viajero;Total;;2017M01;6,3
Viajero;Total;;2016M12;4,18
Viajero;Total;;2016M11;5,04
Viajero;Total;;2016M10;6,78
Viajero;Total;;2016M09;7,38
Viajero;Total;;2016M08;3,74
Viajero;Total;;2016M07;9,31
Viajero;Total;;2016M06;7,37
