RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Viajero;2025M04;10.018.537
Total;;Viajero;2025M03;7.680.722
Total;;Viajero;2025M02;6.539.960
Total;;Viajero;2025M01;5.776.075
Total;;Viajero;2024M12;6.553.489
Total;;Viajero;2024M11;7.171.221
Total;;Viajero;2024M10;10.774.309
Total;;Viajero;2024M09;11.821.379
Total;;Viajero;2024M08;13.586.095
Total;;Viajero;2024M07;12.703.213
Total;;Viajero;2024M06;11.905.082
Total;;Viajero;2024M05;11.776.729
Total;;Viajero;2024M04;9.386.103
Total;;Viajero;2024M03;8.433.226
Total;;Viajero;2024M02;6.512.168
Total;;Viajero;2024M01;5.660.859
Total;;Viajero;2023M12;6.586.138
Total;;Viajero;2023M11;6.798.815
Total;;Viajero;2023M10;10.390.441
Total;;Viajero;2023M09;11.627.872
Total;;Viajero;2023M08;13.266.497
Total;;Viajero;2023M07;12.680.483
Total;;Viajero;2023M06;11.535.550
Total;;Viajero;2023M05;10.580.202
Total;;Viajero;2023M04;9.829.384
Total;;Viajero;2023M03;7.361.364
Total;;Viajero;2023M02;5.967.064
Total;;Viajero;2023M01;5.367.962
Total;;Viajero;2022M12;6.054.556
Total;;Viajero;2022M11;6.284.698
Total;;Viajero;2022M10;9.743.259
Total;;Viajero;2022M09;11.050.305
Total;;Viajero;2022M08;12.889.916
Total;;Viajero;2022M07;12.292.936
Total;;Viajero;2022M06;10.990.468
Total;;Viajero;2022M05;9.920.671
Total;;Viajero;2022M04;8.689.822
Total;;Viajero;2022M03;6.061.398
Total;;Viajero;2022M02;5.133.961
Total;;Viajero;2022M01;3.770.578
Total;;Viajero;2021M12;4.881.952
Total;;Viajero;2021M11;5.391.958
Total;;Viajero;2021M10;8.131.666
Total;;Viajero;2021M09;8.256.057
Total;;Viajero;2021M08;10.408.035
Total;;Viajero;2021M07;8.544.001
Total;;Viajero;2021M06;5.676.067
Total;;Viajero;2021M05;3.404.118
Total;;Viajero;2021M04;1.955.719
Total;;Viajero;2021M03;1.770.722
Total;;Viajero;2021M02;1.179.236
Total;;Viajero;2021M01;1.124.601
Total;;Viajero;2020M12;1.417.815
Total;;Viajero;2020M11;1.184.922
Total;;Viajero;2020M10;2.406.759
Total;;Viajero;2020M09;3.513.294
Total;;Viajero;2020M08;5.924.218
Total;;Viajero;2020M07;4.407.783
Total;;Viajero;2020M06;944.923
Total;;Viajero;2020M05;98.561
Total;;Viajero;2020M04;0
Total;;Viajero;2020M03;2.656.776
Total;;Viajero;2020M02;6.456.402
Total;;Viajero;2020M01;5.577.618
Total;;Viajero;2019M12;6.240.788
Total;;Viajero;2019M11;6.693.210
Total;;Viajero;2019M10;9.772.631
Total;;Viajero;2019M09;11.038.778
Total;;Viajero;2019M08;13.028.096
Total;;Viajero;2019M07;12.124.664
Total;;Viajero;2019M06;11.371.775
Total;;Viajero;2019M05;10.509.949
Total;;Viajero;2019M04;9.138.989
Total;;Viajero;2019M03;7.534.311
Total;;Viajero;2019M02;6.011.298
Total;;Viajero;2019M01;5.251.558
Total;;Viajero;2018M12;6.071.139
Total;;Viajero;2018M11;6.485.702
Total;;Viajero;2018M10;9.666.570
Total;;Viajero;2018M09;11.000.902
Total;;Viajero;2018M08;12.500.596
Total;;Viajero;2018M07;11.707.840
Total;;Viajero;2018M06;10.846.347
Total;;Viajero;2018M05;10.040.281
Total;;Viajero;2018M04;8.499.926
Total;;Viajero;2018M03;7.532.288
Total;;Viajero;2018M02;5.826.145
Total;;Viajero;2018M01;5.133.729
Total;;Viajero;2017M12;5.805.767
Total;;Viajero;2017M11;6.068.289
Total;;Viajero;2017M10;9.458.368
Total;;Viajero;2017M09;10.933.324
Total;;Viajero;2017M08;12.338.502
Total;;Viajero;2017M07;11.910.574
Total;;Viajero;2017M06;10.640.606
Total;;Viajero;2017M05;9.844.007
Total;;Viajero;2017M04;9.209.286
Total;;Viajero;2017M03;6.921.086
Total;;Viajero;2017M02;5.689.624
Total;;Viajero;2017M01;4.984.634
Total;;Viajero;2016M12;5.540.097
Total;;Viajero;2016M11;5.786.675
Total;;Viajero;2016M10;9.274.924
Total;;Viajero;2016M09;10.486.719
Total;;Viajero;2016M08;12.187.504
Total;;Viajero;2016M07;11.605.320
Total;;Viajero;2016M06;10.180.427
Total;;Viajero;2016M05;9.569.945
Total;;Viajero;2016M04;7.735.455
Total;;Viajero;2016M03;7.221.796
Total;;Viajero;2016M02;5.561.906
Total;;Viajero;2016M01;4.689.264
Total;;Viajero;2015M12;5.318.037
Total;;Viajero;2015M11;5.509.265
Total;;Viajero;2015M10;8.685.869
Total;;Viajero;2015M09;9.766.395
Total;;Viajero;2015M08;11.747.649
Total;;Viajero;2015M07;10.616.662
Total;;Viajero;2015M06;9.481.768
Total;;Viajero;2015M05;9.087.139
Total;;Viajero;2015M04;7.668.482
Total;;Viajero;2015M03;6.146.078
Total;;Viajero;2015M02;4.937.718
Total;;Viajero;2015M01;4.251.906
Total;;Viajero;2014M12;4.998.810
Total;;Viajero;2014M11;5.144.062
Total;;Viajero;2014M10;7.988.684
Total;;Viajero;2014M09;9.342.635
Total;;Viajero;2014M08;11.228.638
Total;;Viajero;2014M07;9.885.449
Total;;Viajero;2014M06;9.038.987
Total;;Viajero;2014M05;8.518.421
Total;;Viajero;2014M04;7.301.730
Total;;Viajero;2014M03;5.770.836
Total;;Viajero;2014M02;4.657.133
Total;;Viajero;2014M01;3.939.144
Total;;Viajero;2013M12;4.659.511
Total;;Viajero;2013M11;5.112.181
Total;;Viajero;2013M10;7.468.192
Total;;Viajero;2013M09;8.886.542
Total;;Viajero;2013M08;10.715.764
Total;;Viajero;2013M07;9.644.412
Total;;Viajero;2013M06;8.725.022
Total;;Viajero;2013M05;8.113.029
Total;;Viajero;2013M04;6.283.128
Total;;Viajero;2013M03;6.171.037
Total;;Viajero;2013M02;4.347.642
Total;;Viajero;2013M01;3.694.459
Total;;Viajero;2012M12;4.334.680
Total;;Viajero;2012M11;4.772.075
Total;;Viajero;2012M10;7.258.395
Total;;Viajero;2012M09;8.756.163
Total;;Viajero;2012M08;10.239.776
Total;;Viajero;2012M07;9.616.052
Total;;Viajero;2012M06;8.587.613
Total;;Viajero;2012M05;7.725.234
Total;;Viajero;2012M04;7.103.715
Total;;Viajero;2012M03;5.771.561
Total;;Viajero;2012M02;4.762.348
Total;;Viajero;2012M01;4.034.869
Total;;Viajero;2011M12;4.594.592
Total;;Viajero;2011M11;4.902.197
Total;;Viajero;2011M10;7.673.432
Total;;Viajero;2011M09;8.916.593
Total;;Viajero;2011M08;10.608.293
Total;;Viajero;2011M07;10.051.429
Total;;Viajero;2011M06;8.809.958
Total;;Viajero;2011M05;7.797.227
Total;;Viajero;2011M04;7.423.129
Total;;Viajero;2011M03;5.829.113
