Variable1	Valor1	Variable2	Valor2	Variable3	Valor3	Variable4	Valor4	Variable5	Valor5	PERIODO	VALOR
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2074	54.588.194,555989
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2073	54.572.174,746164
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2072	54.562.643,062856
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2071	54.559.822,359944
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2070	54.563.560,694023
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2069	54.573.502,163393
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2068	54.589.169,434671
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2067	54.610.029,300133
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2066	54.635.371,761116
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2065	54.664.563,790565
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2064	54.696.807,082427
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2063	54.731.022,670687
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2062	54.766.948,291237
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2061	54.803.566,193232
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2060	54.839.724,219452
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2059	54.874.043,937641
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2058	54.905.146,721014
