,2035,2030,2025
0,197548.0606,184313.6623,168150.205
1,197065.3956,184545.9163,170233.8654
2,196783.4295,184926.4526,174242.1031
3,196607.8505,185331.8469,184930.0245
4,196604.7022,185905.1648,186859.642
5,196756.2526,186785.858,198279.4059
6,197039.7249,188917.0003,207969.0745
7,197420.7665,193127.212,222514.2846
8,197887.4995,203071.2422,233794.0854
9,198474.0992,205247.0818,240120.0491
10,199291.9091,216587.5578,245195.0419
11,201384.9956,225938.6304,242637.4579
12,205631.5411,240022.1741,256556.4994
13,215013.2181,251089.7313,262789.4291
14,217437.928,257765.6732,268658.394
15,229187.3766,263774.455,274142.5572
16,239305.6128,263073.7064,286717.2844
17,254547.2241,279171.0958,278261.0741
18,267268.7977,288366.7708,279464.165
19,276038.1187,297537.2845,278690.7369
20,284264.2136,306477.0548,282279.9673
21,285819.3727,322192.9826,280135.1307
22,303604.5015,316802.4782,275594.1889
23,314223.8202,320093.9984,276580.1054
24,324345.2801,320563.8431,281499.7918
25,333862.5826,324801.5768,276699.5661
26,349682.7939,323427.5377,273184.877
27,344409.4353,319072.1057,277795.2792
28,347146.1796,319556.2604,276277.4317
29,346611.1228,323419.6946,279106.2239
30,349520.7278,317864.7807,282863.9199
31,347014.3778,313500.0608,289858.6349
32,341323.7446,316554.358,296206.7358
33,340189.1116,313729.545,294997.6584
34,342339.0355,314874.0221,296913.2791
35,335629.2387,317109.762,299482.9857
36,330352.3688,322806.2204,303250.6387
37,332303.8657,327734.6047,305476.6075
38,328803.2091,325560.486,309936.3492
39,329199.566,326273.8719,318622.9001
40,330879.1889,327921.7386,328706.2392
41,336124.4152,330648.6447,338514.331
42,340504.6211,331940.2154,356035.0956
43,337961.953,335479.1615,369924.7375
44,338050.7711,342795.9755,386180.6142
45,339086.7261,351369.2896,394854.8588
46,341026.052,359426.4387,411535.6357
47,341511.5542,374665.4175,417072.593
48,344196.1464,386761.1686,421786.0137
49,350340.5298,400630.2839,418338.1096
50,357637.8049,407757.477,412770.4243
51,364298.9388,422429.5814,401257.8392
52,377772.3404,426164.0031,397506.5993
53,388432.4499,429313.5574,388954.5068
54,400494.2467,424405.7047,381671.8346
55,406363.5606,417437.4819,374467.9439
56,419428.3429,404996.4401,368432.4411
57,421783.2866,399601.8216,367683.9517
58,423631.4882,389981.913,356835.1091
59,417551.4031,381069.5914,350504.6095
60,409474.8504,372744.1804,352229.3008
61,396206.6847,365160.3755,333190.5374
62,389382.2323,362825.173,318700.4816
63,378738.6067,350760.6387,308492.512
64,368429.3715,342940.7806,306466.618
65,358982.5724,342698.6441,295392.2226
66,350100.4386,322998.5098,285353.7711
67,346341.6258,307670.5097,274810.4212
68,333350.9236,296563.9785,252861.7303
69,324293.44,292623.394,242478.0057
70,322323.0194,280583.199,227259.3685
71,302045.7943,269078.0745,224983.6283
72,285867.9991,257238.7531,220527.9812
73,273655.6382,234982.327,202407.8425
74,267547.592,223155.0127,192583.0599
75,254128.2581,206992.4798,194264.3489
76,241054.4232,202427.6512,197444.5852
77,227772.454,195764.2559,175221.8646
78,205237.1308,177147.3742,161296.6895
79,191658.4616,165470.3784,161471.3114
80,174672.3339,163736.4006,147645.5963
81,167275.1399,162625.2495,138250.2382
82,157708.9493,140524.188,113146.5843
83,138850.5276,125687.2777,98183.17439
84,125828.5139,121876.5329,110600.2185
85,120071.9634,107150.2085,66066.20349
86,114498.7736,96059.14138,68530.94138
87,94614.03742,75010.55347,68977.25631
88,80451.56397,61681.76387,65946.26418
89,73581.39002,65137.41708,56240.19734
90,60567.04375,36393.53224,47173.47636
91,50448.83936,34856.29079,39481.64832
92,36337.84492,32135.85061,31941.79825
93,27294.80049,27849.84341,23959.60305
94,26134.48351,21452.5549,17924.88379
95,13279.85157,16210.1378,12596.47941
96,11427.12712,12152.33441,9075.265151
97,9412.93583,8766.382013,5840.641529
98,7291.249755,5882.870478,3947.985815
99,5066.907826,3980.494114,2557.22509
100 y más,7919.823527,5243.133095,3253.456592
