,2035,2030,2025
0,186365.1202,173890.9001,158657.7981
1,185925.652,174137.7423,161055.8839
2,185663.2466,174505.0411,164372.8098
3,185497.073,174888.5158,173824.1309
4,185477.601,175409.2052,178244.0985
5,185587.8059,176197.4401,187599.7854
6,185805.7787,178517.668,197400.5546
7,186096.807,181935.8304,209420.6253
8,186456.0195,190575.3347,220782.9088
9,186918.0084,195049.6345,226780.3508
10,187586.6764,204265.6705,230343.6868
11,189811.9727,213662.7259,228702.0037
12,193210.4432,225214.2226,240875.3806
13,201206.5119,236215.2674,246932.8198
14,205673.9172,242217.1836,252835.3037
15,215006.5433,246258.6506,256484.0652
16,224767.967,245913.3573,268510.221
17,237115.5711,259586.3966,260261.6892
18,249428.8805,267991.5318,260280.5546
19,257320.7285,276738.9223,260357.5778
20,263669.8453,283848.7804,263172.764
21,265962.0489,299342.552,264150.4994
22,281886.6743,294870.6072,258269.3798
23,292398.13,297945.7626,261018.5725
24,302720.1485,300207.5326,265222.942
25,311006.3452,304318.0771,263891.2789
26,327026.7403,306298.2757,259204.4726
27,323015.2048,301317.5525,266916.1345
28,325856.1666,303912.4003,267042.6859
29,327366.2631,307127.9442,269463.4094
30,330374.5397,305175.4651,273900.3394
31,331368.7018,299995.8419,281659.4873
32,325672.9601,306419.9256,289664.6338
33,327151.9596,305629.226,287841.7397
34,329067.9885,306907.4057,292339.0532
35,326293.9585,310284.4686,297509.3812
36,320578.1708,317130.0566,302368.8861
37,326130.039,324100.9194,305957.4823
38,324800.0562,321603.4041,313122.798
39,325455.0322,324957.3514,321511.1386
40,328254.0874,328994.1695,332219.1546
41,334538.7908,332747.4768,341161.9786
42,340818.3282,335297.3502,357432.6519
43,337758.6326,341201.8643,369520.6646
44,340192.4552,348197.0277,384848.232
45,343262.6979,357303.8809,393570.2841
46,346069.6361,364780.7028,407582.5908
47,347730.1034,379193.5372,410011.8264
48,352667.6025,389829.9789,416812.5939
49,358703.2001,403554.2783,411616.0833
50,366790.4891,411115.7022,408916.1619
51,373359.4482,423896.1994,397938.5777
52,386628.1737,425359.5132,396087.3163
53,396383.4082,431154.3399,389384.5872
54,409040.4827,425117.1552,383959.8146
55,415767.1837,421346.6952,379569.0764
56,427593.4257,409599.9718,376462.678
57,428223.7207,406479.3816,378616.3605
58,433072.3361,398758.8564,368420.3013
59,426250.2563,392114.8234,365806.1287
60,421505.3369,386705.5035,369591.4324
61,409030.1217,382238.5628,350504.0483
62,404845.7264,383185.0668,339064.5892
63,396249.8319,372087.7236,330435.7606
64,388633.9959,368245.0116,330438.9098
65,382430.8172,370766.8758,320065.1361
66,376959.9694,351098.8547,312197.3208
67,376927.0571,338913.1333,303967.4439
68,365251.3479,329757.0288,282186.7766
69,360448.3857,328428.8512,273372.6982
70,361786.9038,317234.0764,260281.1137
71,341655.5733,308225.0595,257818.4208
72,328733.5879,298932.4709,253882.0759
73,318753.6329,276508.1591,237544.5415
74,315697.6469,266217.5214,229559.3265
75,303316.7618,251908.1422,236711.3055
76,292679.0174,247554.9638,244083.1515
77,281663.5832,241524.129,220104.9445
78,258299.7191,223939.8424,207736.0327
79,245989.253,213785.9464,212541.4252
80,229927.5527,217371.6291,197801.09
81,222775.405,220605.3814,189994.311
82,213692.8308,195473.7896,158604.6247
83,194422.0495,180780.3919,141625.5776
84,181668.871,180746.5888,167399.3372
85,180069.6973,163533.1708,106420.6716
86,177432.6178,152066.4873,113703.1212
87,152084.4523,122465.7418,119386.5331
88,135345.44,104854.7438,121361.1161
89,129397.9127,117739.5811,106585.2647
90,111221.9899,70979.6499,94516.39003
91,97516.06136,70986.17257,84153.80442
92,73640.21817,69322.19601,71984.38998
93,58686.68064,65029.05897,56723.71612
94,60814.41863,52414.58012,47180.88815
95,33789.26111,42349.9737,35135.47355
96,30794.9083,34120.90332,26965.1557
97,27172.64485,26174.99433,18845.9934
98,22961.63058,18475.60949,13779.72769
99,16656.71387,13726.07989,9445.622279
100 y más,32619.84147,22035.00069,14686.92443
