,2035,2030,2025
0,383913.1808,358204.5624,326808.003
1,382991.0476,358683.6586,331289.7493
2,382446.6761,359431.4937,338614.9129
3,382104.9236,360220.3627,358754.1554
4,382082.3032,361314.37,365103.7405
5,382344.0586,362983.298,385879.1913
6,382845.5036,367434.6684,405369.6291
7,383517.5735,375063.0423,431934.9099
8,384343.5191,393646.5769,454576.9942
9,385392.1076,400296.7163,466900.3998
10,386878.5855,420853.2283,475538.7287
11,391196.9683,439601.3563,471339.4616
12,398841.9843,465236.3967,497431.88
13,416219.73,487304.9987,509722.2489
14,423111.8452,499982.8569,521493.6977
15,444193.9199,510033.1057,530626.6224
16,464073.5798,508987.0637,555227.5054
17,491662.7952,538757.4924,538522.7634
18,516697.6782,556358.3026,539744.7196
19,533358.8473,574276.2068,539048.3147
20,547934.0589,590325.8352,545452.7313
21,551781.4216,621535.5345,544285.6301
22,585491.1759,611673.0855,533863.5687
23,606621.9503,618039.761,537598.6778
24,627065.4286,620771.3756,546722.7337
25,644868.9278,629119.6539,540590.845
26,676709.5342,629725.8134,532389.3496
27,667424.6401,620389.6581,544711.4137
28,673002.3463,623468.6607,543320.1177
29,673977.3859,630547.6389,548569.6332
30,679895.2674,623040.2458,556764.2592
31,678383.0796,613495.9026,571518.1221
32,666996.7047,622974.2836,585871.3696
33,667341.0712,619358.771,582839.3981
34,671407.024,621781.4278,589252.3323
35,661923.1972,627394.2306,596992.3668
36,650930.5396,639936.277,605619.5248
37,658433.9047,651835.524,611434.0898
38,653603.2653,647163.89,623059.1472
39,654654.5982,651231.2233,640134.0387
40,659133.2763,656915.9081,660925.3939
41,670663.206,663396.1215,679676.3096
42,681322.9492,667237.5656,713467.7475
43,675720.5855,676681.0258,739445.4022
44,678243.2263,690993.0031,771028.8462
45,682349.424,708673.1705,788425.1429
46,687095.688,724207.1415,819118.2266
47,689241.6576,753858.9547,827084.4194
48,696863.7489,776591.1475,838598.6076
49,709043.73,804184.5621,829954.1929
50,724428.294,818873.1791,821686.5862
51,737658.3871,846325.7808,799196.4169
52,764400.5141,851523.5163,793593.9156
53,784815.858,860467.8973,778339.094
54,809534.7294,849522.8599,765631.6492
55,822130.7443,838784.1771,754037.0203
56,847021.7686,814596.4119,744895.1191
57,850007.0073,806081.2032,746300.3121
58,856703.8243,788740.7693,725255.4104
59,843801.6594,773184.4148,716310.7383
60,830980.1873,759449.6839,721820.7332
61,805236.8064,747398.9383,683694.5857
62,794227.9587,746010.2398,657765.0708
63,774988.4386,722848.3623,638928.2726
64,757063.3675,711185.7922,636905.5278
65,741413.3896,713465.52,615457.3587
66,727060.408,674097.3646,597551.0919
67,723268.6829,646583.6431,578777.8651
68,698602.2715,626321.0073,535048.5069
69,684741.8257,621052.2452,515850.7039
70,684109.9232,597817.2754,487540.4822
71,643701.3676,577303.134,482802.049
72,614601.587,556171.2241,474410.0571
73,592409.2712,511490.486,439952.3839
74,583245.2389,489372.5341,422142.3864
75,557445.02,458900.622,430975.6544
76,533733.4406,449982.6151,441527.7367
77,509436.0372,437288.3848,395326.8091
78,463536.8498,401087.2166,369032.7222
79,437647.7146,379256.3247,374012.7366
80,404599.8866,381108.0297,345446.6862
81,390050.5449,383230.6309,328244.5492
82,371401.7801,335997.9776,271751.209
83,333272.5771,306467.6696,239808.752
84,307497.3849,302623.1217,277999.5557
85,300141.6607,270683.3793,172486.8751
86,291931.3914,248125.6286,182234.0625
87,246698.4897,197476.2953,188363.7894
88,215797.004,166536.5077,187307.3803
89,202979.3027,182876.9982,162825.4621
90,171789.0336,107373.1821,141689.8664
91,147964.9007,105842.4634,123635.4527
92,109978.0631,101458.0466,103926.1882
93,85981.48113,92878.90238,80683.31916
94,86948.90214,73867.13502,65105.77194
95,47069.11268,58560.11149,47731.95296
96,42222.03542,46273.23772,36040.42085
97,36585.58068,34941.37634,24686.63493
98,30252.88033,24358.47997,17727.7135
99,21723.6217,17706.574,12002.84737
100 y más,40539.665,27278.13378,17940.38102
