,id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,date
0,1,59,admin.,married,secondary,False,2343,True,False,unknown,5,May,1042,1,-1,0,unknown,True,2008-05-05
1,2,59,admin.,married,secondary,False,2343,True,False,unknown,5,May,1042,1,-1,0,unknown,True,2008-05-05
2,3,56,admin.,married,secondary,False,45,False,False,unknown,5,May,1467,1,-1,0,unknown,True,2008-05-05
3,4,41,technician,married,secondary,False,1270,True,False,unknown,5,May,1389,1,-1,0,unknown,True,2008-05-05
4,5,55,services,married,secondary,False,2476,True,False,unknown,5,May,579,1,-1,0,unknown,True,2008-05-05
5,6,54,admin.,married,tertiary,False,184,False,False,unknown,5,May,673,2,-1,0,unknown,True,2008-05-05
6,7,42,management,single,tertiary,False,0,True,True,unknown,5,May,562,2,-1,0,unknown,True,2008-05-05
7,8,56,management,married,tertiary,False,830,True,True,unknown,6,May,1201,1,-1,0,unknown,True,2008-05-06
8,9,60,retired,divorced,secondary,False,545,True,False,unknown,6,May,1030,1,-1,0,unknown,True,2008-05-06
9,10,37,technician,married,secondary,False,1,True,False,unknown,6,May,608,1,-1,0,unknown,True,2008-05-06
10,11,28,services,single,secondary,False,5090,True,False,unknown,6,May,1297,3,-1,0,unknown,True,2008-05-06
11,12,38,admin.,single,secondary,False,100,True,False,unknown,7,May,786,1,-1,0,unknown,True,2008-05-07
12,13,30,blue-collar,married,secondary,False,309,True,False,unknown,7,May,1574,2,-1,0,unknown,True,2008-05-07
13,14,29,management,married,tertiary,False,199,True,True,unknown,7,May,1689,4,-1,0,unknown,True,2008-05-07
14,15,46,blue-collar,single,tertiary,False,460,True,False,unknown,7,May,1102,2,-1,0,unknown,True,2008-05-07
15,16,31,technician,single,tertiary,False,703,True,False,unknown,8,May,943,2,-1,0,unknown,True,2008-05-08
16,17,35,management,divorced,tertiary,False,3837,True,False,unknown,8,May,1084,1,-1,0,unknown,True,2008-05-08
17,18,32,blue-collar,single,primary,False,611,True,False,unknown,8,May,541,3,-1,0,unknown,True,2008-05-08
18,19,49,services,married,secondary,False,-8,True,False,unknown,8,May,1119,1,-1,0,unknown,True,2008-05-08
19,20,41,admin.,married,secondary,False,55,True,False,unknown,8,May,1120,2,-1,0,unknown,True,2008-05-08
20,21,49,admin.,divorced,secondary,False,168,True,True,unknown,8,May,513,1,-1,0,unknown,True,2008-05-08
21,22,28,admin.,divorced,secondary,False,785,True,False,unknown,8,May,442,2,-1,0,unknown,True,2008-05-08
22,23,43,management,single,tertiary,False,2067,True,False,unknown,8,May,756,1,-1,0,unknown,True,2008-05-08
23,24,43,management,divorced,tertiary,False,388,True,False,unknown,8,May,2087,2,-1,0,unknown,True,2008-05-08
24,25,43,blue-collar,married,primary,False,-192,True,False,unknown,8,May,1120,2,-1,0,unknown,True,2008-05-08
25,26,37,unemployed,single,secondary,False,381,True,False,unknown,8,May,985,2,-1,0,unknown,True,2008-05-08
26,27,35,blue-collar,single,secondary,False,40,True,False,unknown,9,May,617,4,-1,0,unknown,True,2008-05-09
27,28,31,technician,single,tertiary,False,22,True,False,unknown,9,May,483,3,-1,0,unknown,True,2008-05-09
28,29,43,blue-collar,single,secondary,False,3,True,False,unknown,9,May,929,3,-1,0,unknown,True,2008-05-09
29,30,31,admin.,married,secondary,False,307,True,False,unknown,9,May,538,1,-1,0,unknown,True,2008-05-09
30,31,28,blue-collar,single,secondary,False,759,True,False,unknown,9,May,710,1,-1,0,unknown,True,2008-05-09
31,32,32,blue-collar,married,secondary,True,-1,True,False,unknown,9,May,653,1,-1,0,unknown,True,2008-05-09
32,33,60,technician,married,primary,False,65,True,False,unknown,9,May,1028,2,-1,0,unknown,True,2008-05-09
33,34,26,blue-collar,single,secondary,False,82,True,False,unknown,9,May,654,1,-1,0,unknown,True,2008-05-09
34,35,40,blue-collar,married,secondary,False,10,True,False,unknown,9,May,1692,2,-1,0,unknown,True,2008-05-09
35,36,33,blue-collar,divorced,primary,False,390,True,False,unknown,9,May,665,2,-1,0,unknown,True,2008-05-09
36,37,32,management,single,tertiary,False,311,False,False,unknown,12,May,757,2,-1,0,unknown,True,2008-05-12
37,38,35,blue-collar,married,primary,False,414,False,False,unknown,13,May,504,4,-1,0,unknown,True,2008-05-13
38,39,33,management,divorced,secondary,False,5,True,False,unknown,13,May,1346,1,-1,0,unknown,True,2008-05-13
39,40,38,management,married,tertiary,False,119,True,False,unknown,13,May,568,4,-1,0,unknown,True,2008-05-13
40,41,23,entrepreneur,single,primary,False,4,True,False,unknown,13,May,395,2,-1,0,unknown,True,2008-05-13
41,42,60,blue-collar,married,primary,False,1262,True,True,unknown,13,May,1015,1,-1,0,unknown,True,2008-05-13
42,43,48,management,married,tertiary,False,1949,True,False,unknown,13,May,683,2,-1,0,unknown,True,2008-05-13
43,44,45,entrepreneur,divorced,tertiary,False,-395,True,False,unknown,13,May,470,1,-1,0,unknown,True,2008-05-13
44,45,36,blue-collar,married,secondary,False,1165,True,False,unknown,13,May,1001,4,-1,0,unknown,True,2008-05-13
45,46,52,management,married,unknown,False,2240,True,False,unknown,13,May,845,1,-1,0,unknown,True,2008-05-13
46,47,35,blue-collar,divorced,primary,False,300,True,False,unknown,13,May,945,2,-1,0,unknown,True,2008-05-13
47,48,43,technician,married,secondary,False,3285,True,False,unknown,13,May,1721,2,-1,0,unknown,True,2008-05-13
48,49,52,housemaid,married,secondary,False,3923,True,False,unknown,14,May,942,3,-1,0,unknown,True,2008-05-14
49,50,53,technician,divorced,primary,False,1443,True,False,unknown,14,May,476,1,-1,0,unknown,True,2008-05-14
50,51,48,blue-collar,divorced,primary,False,24,True,False,unknown,14,May,832,1,-1,0,unknown,True,2008-05-14
51,52,41,blue-collar,single,primary,False,1618,True,False,unknown,14,May,1553,1,-1,0,unknown,True,2008-05-14
52,53,39,management,divorced,tertiary,False,517,True,True,unknown,14,May,1328,1,-1,0,unknown,True,2008-05-14
53,54,59,retired,married,secondary,False,1521,True,True,unknown,14,May,1125,2,-1,0,unknown,True,2008-05-14
54,55,41,blue-collar,married,secondary,False,2823,True,False,unknown,14,May,858,1,-1,0,unknown,True,2008-05-14
55,56,48,blue-collar,married,secondary,False,1405,True,False,unknown,14,May,629,2,-1,0,unknown,True,2008-05-14
56,57,40,admin.,married,secondary,False,1535,True,False,unknown,14,May,704,1,-1,0,unknown,True,2008-05-14
57,58,48,blue-collar,married,secondary,False,1596,True,False,unknown,14,May,760,1,-1,0,unknown,True,2008-05-14
58,59,60,retired,married,primary,False,1542,True,False,unknown,14,May,930,1,-1,0,unknown,True,2008-05-14
59,60,40,technician,single,unknown,False,3652,True,False,unknown,14,May,1028,2,-1,0,unknown,True,2008-05-14
60,61,57,technician,married,tertiary,False,-1,False,False,unknown,14,May,850,2,-1,0,unknown,True,2008-05-14
61,62,51,blue-collar,married,secondary,False,7180,True,False,unknown,14,May,927,1,-1,0,unknown,True,2008-05-14
62,63,41,blue-collar,divorced,secondary,False,5291,True,False,unknown,14,May,1423,3,-1,0,unknown,True,2008-05-14
63,64,41,blue-collar,married,secondary,False,1384,True,False,unknown,15,May,1162,4,-1,0,unknown,True,2008-05-15
64,65,52,blue-collar,divorced,primary,False,-191,True,False,unknown,15,May,755,1,-1,0,unknown,True,2008-05-15
65,66,59,blue-collar,married,primary,False,320,True,False,unknown,15,May,695,1,-1,0,unknown,True,2008-05-15
66,67,44,blue-collar,married,unknown,False,146,True,False,unknown,15,May,483,1,-1,0,unknown,True,2008-05-15
67,68,49,unknown,married,primary,False,341,True,True,unknown,15,May,520,2,-1,0,unknown,True,2008-05-15
68,69,40,services,married,primary,False,-9,True,False,unknown,15,May,920,2,-1,0,unknown,True,2008-05-15
69,70,41,admin.,married,primary,False,-306,True,False,unknown,15,May,500,1,-1,0,unknown,True,2008-05-15
