"age";"job";"marital";"education";"balance";"housing";"deposit"
59;"admin";"married";"secondary";2343;"yes";"yes"
59;"admin";"married";"secondary";2343;"yes";"yes"
56;"admin";"married";"secondary";45;"no";"yes"
41;"technician";"married";"secondary";1270;"yes";"yes"
55;"services";"married";"secondary";2476;"yes";"yes"
54;"admin";"married";"tertiary";184;"no";"yes"
42;"management";"single";"tertiary";0;"yes";"yes"
56;"management";"married";"tertiary";830;"yes";"yes"
60;"retired";"divorced";"secondary";545;"yes";"yes"
37;"technician";"married";"secondary";1;"yes";"yes"
28;"services";"single";"secondary";5090;"yes";"yes"
38;"admin";"single";"secondary";100;"yes";"yes"
30;"blue-collar";"married";"secondary";309;"yes";"yes"
29;"management";"married";"tertiary";199;"yes";"yes"
46;"blue-collar";"single";"tertiary";460;"yes";"yes"
31;"technician";"single";"tertiary";703;"yes";"yes"
35;"management";"divorced";"tertiary";3837;"yes";"yes"
32;"blue-collar";"single";"primary";611;"yes";"yes"
49;"services";"married";"secondary";-8;"yes";"yes"
41;"admin";"married";"secondary";55;"yes";"yes"
49;"admin";"divorced";"secondary";168;"yes";"yes"
28;"admin";"divorced";"secondary";785;"yes";"yes"
43;"management";"single";"tertiary";2067;"yes";"yes"
43;"management";"divorced";"tertiary";388;"yes";"yes"
43;"blue-collar";"married";"primary";-192;"yes";"yes"
37;"unemployed";"single";"secondary";381;"yes";"yes"
35;"blue-collar";"single";"secondary";40;"yes";"yes"
31;"technician";"single";"tertiary";22;"yes";"yes"
43;"blue-collar";"single";"secondary";3;"yes";"yes"
31;"admin";"married";"secondary";307;"yes";"yes"
28;"blue-collar";"single";"secondary";759;"yes";"yes"
32;"blue-collar";"married";"secondary";-1;"yes";"yes"
60;"technician";"married";"primary";65;"yes";"yes"
26;"blue-collar";"single";"secondary";82;"yes";"yes"
40;"blue-collar";"married";"secondary";10;"yes";"yes"
33;"blue-collar";"divorced";"primary";390;"yes";"yes"
32;"management";"single";"tertiary";311;"no";"yes"
35;"blue-collar";"married";"primary";414;"no";"yes"
33;"management";"divorced";"secondary";5;"yes";"yes"
38;"management";"married";"tertiary";119;"yes";"yes"
23;"entrepreneur";"single";"primary";4;"yes";"yes"
60;"blue-collar";"married";"primary";1262;"yes";"yes"
48;"management";"married";"tertiary";1949;"yes";"yes"
45;"entrepreneur";"divorced";"tertiary";-395;"yes";"yes"
36;"blue-collar";"married";"secondary";1165;"yes";"yes"
35;"blue-collar";"divorced";"primary";300;"yes";"yes"
43;"technician";"married";"secondary";3285;"yes";"yes"
52;"housemaid";"married";"secondary";3923;"yes";"yes"
53;"technician";"divorced";"primary";1443;"yes";"yes"
48;"blue-collar";"divorced";"primary";24;"yes";"yes"
41;"blue-collar";"single";"primary";1618;"yes";"yes"
39;"management";"divorced";"tertiary";517;"yes";"yes"
59;"retired";"married";"secondary";1521;"yes";"yes"
41;"blue-collar";"married";"secondary";2823;"yes";"yes"
48;"blue-collar";"married";"secondary";1405;"yes";"yes"
40;"admin";"married";"secondary";1535;"yes";"yes"
48;"blue-collar";"married";"secondary";1596;"yes";"yes"
60;"retired";"married";"primary";1542;"yes";"yes"
57;"technician";"married";"tertiary";-1;"no";"yes"
51;"blue-collar";"married";"secondary";7180;"yes";"yes"
41;"blue-collar";"divorced";"secondary";5291;"yes";"yes"
41;"blue-collar";"married";"secondary";1384;"yes";"yes"
52;"blue-collar";"divorced";"primary";-191;"yes";"yes"
59;"blue-collar";"married";"primary";320;"yes";"yes"
49;"unknown";"married";"primary";341;"yes";"yes"
40;"services";"married";"primary";-9;"yes";"yes"
41;"admin";"married";"primary";-306;"yes";"yes"
44;"technician";"married";"tertiary";4580;"yes";"yes"
60;"services";"single";"primary";313;"yes";"yes"
29;"management";"married";"tertiary";10576;"no";"yes"
41;"retired";"divorced";"primary";-233;"yes";"yes"
41;"blue-collar";"married";"primary";2453;"yes";"yes"
42;"technician";"single";"secondary";1364;"yes";"yes"
39;"technician";"married";"tertiary";94;"yes";"yes"
31;"self-employed";"single";"tertiary";144;"yes";"yes"
26;"blue-collar";"married";"secondary";246;"yes";"yes"
31;"blue-collar";"married";"secondary";92;"yes";"yes"
29;"admin";"single";"secondary";163;"yes";"yes"
37;"services";"divorced";"secondary";49;"yes";"yes"
33;"blue-collar";"single";"secondary";-416;"yes";"yes"
24;"technician";"single";"secondary";409;"yes";"yes"
50;"admin";"divorced";"secondary";363;"yes";"yes"
27;"technician";"single";"tertiary";3706;"yes";"yes"
54;"management";"single";"tertiary";4393;"yes";"yes"
30;"technician";"single";"secondary";863;"yes";"yes"
34;"blue-collar";"married";"primary";695;"yes";"yes"
37;"management";"single";"secondary";792;"yes";"yes"
41;"admin";"single";"secondary";1020;"yes";"yes"
47;"blue-collar";"married";"secondary";863;"yes";"yes"
31;"admin";"married";"secondary";97;"yes";"yes"
31;"blue-collar";"married";"secondary";754;"yes";"yes"
43;"services";"divorced";"secondary";1040;"yes";"yes"
37;"management";"divorced";"tertiary";122;"yes";"yes"
30;"technician";"single";"tertiary";880;"yes";"yes"
41;"technician";"married";"secondary";501;"yes";"yes"
36;"blue-collar";"married";"secondary";4438;"yes";"yes"
35;"blue-collar";"divorced";"secondary";0;"yes";"yes"
29;"services";"single";"secondary";271;"yes";"yes"
35;"blue-collar";"married";"primary";102;"yes";"yes"
31;"blue-collar";"married";"secondary";2;"yes";"yes"
35;"services";"married";"secondary";4170;"yes";"yes"
34;"technician";"single";"secondary";85;"yes";"yes"
31;"admin";"single";"secondary";431;"yes";"yes"
44;"technician";"divorced";"secondary";982;"yes";"yes"
36;"blue-collar";"married";"primary";408;"yes";"yes"
41;"blue-collar";"married";"primary";1250;"yes";"yes"
31;"blue-collar";"single";"primary";216;"yes";"yes"
34;"blue-collar";"married";"secondary";1207;"yes";"yes"
32;"technician";"married";"secondary";791;"yes";"yes"
36;"management";"married";"tertiary";849;"yes";"yes"
30;"blue-collar";"single";"secondary";239;"yes";"yes"
37;"technician";"single";"secondary";1211;"yes";"yes"
36;"blue-collar";"married";"primary";599;"yes";"yes"
31;"management";"single";"tertiary";825;"yes";"yes"
27;"technician";"married";"secondary";2183;"yes";"yes"
34;"retired";"married";"primary";4499;"no";"yes"
30;"technician";"single";"tertiary";1289;"yes";"yes"
32;"technician";"single";"tertiary";4665;"yes";"yes"
