"id";"age";"job";"marital";"education";"default_credit";"contact";"contact_day";"contact_month";"duration";"campaign";"pdays";"previous";"poutcome";"deposit";"age_slot";"duration_slot";"prevdays_slot"
1;59;"admin";"married";"secondary";"no";"unknown";5;"may";1042;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
2;59;"admin";"married";"secondary";"no";"unknown";5;"may";1042;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
3;56;"admin";"married";"secondary";"no";"unknown";5;"may";1467;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
4;41;"technician";"married";"secondary";"no";"unknown";5;"may";1389;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
5;55;"services";"married";"secondary";"no";"unknown";5;"may";579;1;-1;0;"n/a";"yes";"5X";"d<10";"nc"
6;54;"admin";"married";"tertiary";"no";"unknown";5;"may";673;2;-1;0;"n/a";"yes";"5X";"d>10";"nc"
7;42;"management";"single";"tertiary";"no";"unknown";5;"may";562;2;-1;0;"n/a";"yes";"4X";"d<10";"nc"
8;56;"management";"married";"tertiary";"no";"unknown";6;"may";1201;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
9;60;"retired";"divorced";"secondary";"no";"unknown";6;"may";1030;1;-1;0;"n/a";"yes";"6X";"d>10";"nc"
10;37;"technician";"married";"secondary";"no";"unknown";6;"may";608;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
11;28;"services";"single";"secondary";"no";"unknown";6;"may";1297;3;-1;0;"n/a";"yes";"2X";"d>10";"nc"
12;38;"admin";"single";"secondary";"no";"unknown";7;"may";786;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
13;30;"blue-collar";"married";"secondary";"no";"unknown";7;"may";1574;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
14;29;"management";"married";"tertiary";"no";"unknown";7;"may";1689;4;-1;0;"n/a";"yes";"2X";"d>10";"nc"
15;46;"blue-collar";"single";"tertiary";"no";"unknown";7;"may";1102;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
16;31;"technician";"single";"tertiary";"no";"unknown";8;"may";943;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
17;35;"management";"divorced";"tertiary";"no";"unknown";8;"may";1084;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
18;32;"blue-collar";"single";"primary";"no";"unknown";8;"may";541;3;-1;0;"n/a";"yes";"3X";"d<10";"nc"
19;49;"services";"married";"secondary";"no";"unknown";8;"may";1119;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
20;41;"admin";"married";"secondary";"no";"unknown";8;"may";1120;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
21;49;"admin";"divorced";"secondary";"no";"unknown";8;"may";513;1;-1;0;"n/a";"yes";"4X";"d<10";"nc"
22;28;"admin";"divorced";"secondary";"no";"unknown";8;"may";442;2;-1;0;"n/a";"yes";"2X";"d<7";"nc"
23;43;"management";"single";"tertiary";"no";"unknown";8;"may";756;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
24;43;"management";"divorced";"tertiary";"no";"unknown";8;"may";2087;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
25;43;"blue-collar";"married";"primary";"no";"unknown";8;"may";1120;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
26;37;"unemployed";"single";"secondary";"no";"unknown";8;"may";985;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
27;35;"blue-collar";"single";"secondary";"no";"unknown";9;"may";617;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
28;31;"technician";"single";"tertiary";"no";"unknown";9;"may";483;3;-1;0;"n/a";"yes";"3X";"d<10";"nc"
29;43;"blue-collar";"single";"secondary";"no";"unknown";9;"may";929;3;-1;0;"n/a";"yes";"4X";"d>10";"nc"
30;31;"admin";"married";"secondary";"no";"unknown";9;"may";538;1;-1;0;"n/a";"yes";"3X";"d<10";"nc"
31;28;"blue-collar";"single";"secondary";"no";"unknown";9;"may";710;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
32;32;"blue-collar";"married";"secondary";"yes";"unknown";9;"may";653;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
33;60;"technician";"married";"primary";"no";"unknown";9;"may";1028;2;-1;0;"n/a";"yes";"6X";"d>10";"nc"
