id,age,job,marital,education,is_in_default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,balance_normalizado,estado_balance
1,59.0,admin.,married,secondary,0.0,2343,1,0,unknown,5,may,1042,1,-1,0,unknown,1,0.25139035441699287,Saldo Alto
2,59.0,admin.,married,secondary,0.0,2343,1,0,unknown,5,may,1042,1,-1,0,unknown,1,0.25139035441699287,Saldo Alto
3,56.0,admin.,married,secondary,0.0,45,0,0,unknown,5,may,1467,1,-1,0,unknown,1,-0.44698064996201853,Saldo Bajo
4,41.0,technician,married,secondary,0.0,1270,1,0,unknown,5,may,1389,1,-1,0,unknown,1,-0.07469845659200593,Saldo Medio Alto
5,55.0,services,married,secondary,0.0,2476,1,0,unknown,5,may,579,1,-1,0,unknown,1,0.29180956398287994,Saldo Alto
6,54.0,admin.,married,tertiary,0.0,184,0,0,unknown,5,may,673,2,-1,0,unknown,1,-0.4047380174081967,Saldo Medio
7,42.0,management,single,tertiary,0.0,0,1,1,unknown,5,may,562,2,-1,0,unknown,1,-0.4606563223715292,Saldo Bajo
8,56.0,management,married,tertiary,0.0,830,1,1,unknown,6,may,1201,1,-1,0,unknown,1,-0.208416142373888,Saldo Medio Alto
9,60.0,retired,divorced,secondary,0.0,545,1,0,unknown,6,may,1030,1,-1,0,unknown,1,-0.2950287343007889,Saldo Medio Alto
10,37.0,technician,married,secondary,0.0,1,1,0,unknown,6,may,608,1,-1,0,unknown,1,-0.46035241854020675,Saldo Bajo
11,28.0,services,single,secondary,0.0,5090,1,0,unknown,6,may,1297,3,-1,0,unknown,1,1.0862141790597883,Saldo Muy Alto
12,38.0,admin.,single,secondary,0.0,100,1,0,unknown,7,may,786,1,-1,0,unknown,1,-0.43026593923928325,Saldo Bajo
13,30.0,blue-collar,married,secondary,0.0,309,1,0,unknown,7,may,1574,2,-1,0,unknown,1,-0.3667500384928893,Saldo Medio
14,29.0,management,married,tertiary,0.0,199,1,1,unknown,7,may,1689,4,-1,0,unknown,1,-0.4001794599383598,Saldo Medio
15,46.0,blue-collar,single,tertiary,0.0,460,1,0,unknown,7,may,1102,2,-1,0,unknown,1,-0.32086055996319796,Saldo Medio
16,31.0,technician,single,tertiary,0.0,703,1,0,unknown,8,may,943,2,-1,0,unknown,1,-0.24701192895184032,Saldo Medio Alto
17,35.0,management,divorced,tertiary,0.0,3837,1,0,unknown,8,may,1084,1,-1,0,unknown,1,0.705422678412747,Saldo Alto
18,32.0,blue-collar,single,primary,0.0,611,1,0,unknown,8,may,541,3,-1,0,unknown,1,-0.27497108143350657,Saldo Medio Alto
19,49.0,services,married,secondary,0.0,-8,1,0,unknown,8,may,1119,1,-1,0,unknown,1,-0.46308755302210886,Saldo Bajo
20,41.0,admin.,married,secondary,0.0,55,1,0,unknown,8,may,1120,2,-1,0,unknown,1,-0.4439416116487939,Saldo Bajo
21,49.0,admin.,divorced,secondary,0.0,168,1,1,unknown,8,may,513,1,-1,0,unknown,1,-0.409600478709356,Saldo Medio
22,28.0,admin.,divorced,secondary,0.0,785,1,0,unknown,8,may,442,2,-1,0,unknown,1,-0.22209181478339868,Saldo Medio Alto
23,43.0,management,single,tertiary,0.0,2067,1,0,unknown,8,may,756,1,-1,0,unknown,1,0.1675128969719941,Saldo Alto
