id,age,job,marital,education,producto,is_in_default,balance
1,59.0,admin.,married,secondary,hipoteca__deposit,0.0,2343
2,59.0,admin.,married,secondary,hipoteca__deposit,0.0,2343
3,56.0,admin.,married,secondary,deposit,0.0,45
4,41.0,technician,married,secondary,hipoteca__deposit,0.0,1270
5,55.0,services,married,secondary,hipoteca__deposit,0.0,2476
6,54.0,admin.,married,tertiary,deposit,0.0,184
7,42.0,management,single,tertiary,hipoteca_credito_deposit,0.0,0
8,56.0,management,married,tertiary,hipoteca_credito_deposit,0.0,830
9,60.0,retired,divorced,secondary,hipoteca__deposit,0.0,545
10,37.0,technician,married,secondary,hipoteca__deposit,0.0,1
11,28.0,services,single,secondary,hipoteca__deposit,0.0,5090
12,38.0,admin.,single,secondary,hipoteca__deposit,0.0,100
13,30.0,blue-collar,married,secondary,hipoteca__deposit,0.0,309
14,29.0,management,married,tertiary,hipoteca_credito_deposit,0.0,199
15,46.0,blue-collar,single,tertiary,hipoteca__deposit,0.0,460
16,31.0,technician,single,tertiary,hipoteca__deposit,0.0,703
17,35.0,management,divorced,tertiary,hipoteca__deposit,0.0,3837
18,32.0,blue-collar,single,primary,hipoteca__deposit,0.0,611
19,49.0,services,married,secondary,hipoteca__deposit,0.0,-8
20,41.0,admin.,married,secondary,hipoteca__deposit,0.0,55
21,49.0,admin.,divorced,secondary,hipoteca_credito_deposit,0.0,168
22,28.0,admin.,divorced,secondary,hipoteca__deposit,0.0,785
23,43.0,management,single,tertiary,hipoteca__deposit,0.0,2067
24,43.0,management,divorced,tertiary,hipoteca__deposit,0.0,388
25,43.0,blue-collar,married,primary,hipoteca__deposit,0.0,-192
26,37.0,unemployed,single,secondary,hipoteca__deposit,0.0,381
27,35.0,blue-collar,single,secondary,hipoteca__deposit,0.0,40
28,31.0,technician,single,tertiary,hipoteca__deposit,0.0,22
29,43.0,blue-collar,single,secondary,hipoteca__deposit,0.0,3
30,31.0,admin.,married,secondary,hipoteca__deposit,0.0,307
31,28.0,blue-collar,single,secondary,hipoteca__deposit,0.0,759
32,32.0,blue-collar,married,secondary,hipoteca__deposit,1.0,-1
33,60.0,technician,married,primary,hipoteca__deposit,0.0,65
34,26.0,blue-collar,single,secondary,hipoteca__deposit,0.0,82
35,40.0,blue-collar,married,secondary,hipoteca__deposit,0.0,10
36,33.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,390
37,32.0,management,single,tertiary,deposit,0.0,311
38,35.0,blue-collar,married,primary,deposit,0.0,414
39,33.0,management,divorced,secondary,hipoteca__deposit,0.0,5
40,38.0,management,married,tertiary,hipoteca__deposit,0.0,119
41,23.0,entrepreneur,single,primary,hipoteca__deposit,0.0,4
42,60.0,blue-collar,married,primary,hipoteca_credito_deposit,0.0,1262
43,48.0,management,married,tertiary,hipoteca__deposit,0.0,1949
44,45.0,entrepreneur,divorced,tertiary,hipoteca__deposit,0.0,-395
45,36.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1165
46,52.0,management,married,unknown,hipoteca__deposit,0.0,2240
47,35.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,300
48,43.0,technician,married,secondary,hipoteca__deposit,0.0,3285
49,52.0,housemaid,married,secondary,hipoteca__deposit,0.0,3923
50,53.0,technician,divorced,primary,hipoteca__deposit,0.0,1443
51,48.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,24
52,41.0,blue-collar,single,primary,hipoteca__deposit,0.0,1618
53,39.0,management,divorced,tertiary,hipoteca_credito_deposit,0.0,517
54,59.0,retired,married,secondary,hipoteca_credito_deposit,0.0,1521
55,41.0,blue-collar,married,secondary,hipoteca__deposit,0.0,2823
56,48.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1405
57,40.0,admin.,married,secondary,hipoteca__deposit,0.0,1535
58,48.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1596
59,60.0,retired,married,primary,hipoteca__deposit,0.0,1542
60,40.0,technician,single,unknown,hipoteca__deposit,0.0,3652
61,57.0,technician,married,tertiary,deposit,0.0,-1
62,51.0,blue-collar,married,secondary,hipoteca__deposit,0.0,7180
