id,age,job,marital,education,is_in_default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,balance_normalizado,estado_balance
1,59.0,admin.,married,secondary,0,2343,1,0,unknown,5,may,1042,1,-1,0,unknown,1,0.2461025192985126,Saldo Alto
2,59.0,admin.,married,secondary,0,2343,1,0,unknown,5,may,1042,1,-1,0,unknown,1,0.2461025192985126,Saldo Alto
3,56.0,admin.,married,secondary,0,45,0,0,unknown,5,may,1467,1,-1,0,unknown,1,-0.445636778137019,Saldo Bajo
4,41.0,technician,married,secondary,0,1270,1,0,unknown,5,may,1389,1,-1,0,unknown,1,-0.07688976362068908,Saldo Medio Alto
5,55.0,services,married,secondary,0,2476,1,0,unknown,5,may,579,1,-1,0,unknown,1,0.2861379094459998,Saldo Alto
6,54.0,admin.,married,tertiary,0,184,0,0,unknown,5,may,673,2,-1,0,unknown,1,-0.4037952801633294,Saldo Medio
7,42.0,management,single,tertiary,0,0,1,1,unknown,5,may,562,2,-1,0,unknown,1,-0.4591825868335373,Saldo Bajo
8,56.0,management,married,tertiary,0,830,1,1,unknown,6,may,1201,1,-1,0,unknown,1,-0.20933767087553412,Saldo Medio Alto
9,60.0,retired,divorced,secondary,0,545,1,0,unknown,6,may,1030,1,-1,0,unknown,1,-0.29512779262014965,Saldo Medio Alto
10,37.0,technician,married,secondary,0,1,1,0,unknown,6,may,608,1,-1,0,unknown,1,-0.45888156886250353,Saldo Bajo
11,28.0,services,single,secondary,0,5090,1,0,unknown,6,may,1297,3,-1,0,unknown,1,1.072998885728193,Saldo Muy Alto
12,38.0,admin.,single,secondary,0,100,1,0,unknown,7,may,786,1,-1,0,unknown,1,-0.4290807897301634,Saldo Bajo
13,30.0,blue-collar,married,secondary,0,309,1,0,unknown,7,may,1574,2,-1,0,unknown,1,-0.366168033784112,Saldo Medio
14,29.0,management,married,tertiary,0,199,1,1,unknown,7,may,1689,4,-1,0,unknown,1,-0.39928001059782325,Saldo Medio
15,46.0,blue-collar,single,tertiary,0,460,1,0,unknown,7,may,1102,2,-1,0,unknown,1,-0.3207143201580175,Saldo Medio
16,31.0,technician,single,tertiary,0,703,1,0,unknown,8,may,943,2,-1,0,unknown,1,-0.24756695319681896,Saldo Medio Alto
17,35.0,management,divorced,tertiary,0,3837,1,0,unknown,8,may,1084,1,-1,0,unknown,1,0.6958233680229182,Saldo Alto
18,32.0,blue-collar,single,primary,0,611,1,0,unknown,8,may,541,3,-1,0,unknown,1,-0.2752606065319229,Saldo Medio Alto
19,49.0,services,married,secondary,0,-8,1,0,unknown,8,may,1119,1,-1,0,unknown,1,-0.4615907306018072,Saldo Bajo
20,41.0,admin.,married,secondary,0,55,1,0,unknown,8,may,1120,2,-1,0,unknown,1,-0.44262659842668167,Saldo Bajo
21,49.0,admin.,divorced,secondary,0,168,1,1,unknown,8,may,513,1,-1,0,unknown,1,-0.40861156769986917,Saldo Medio
