Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M12;2,27
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M11;2,43
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M10;2,79
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M09;3,00
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M08;3,34
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M07;3,30
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M06;2,88
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M05;2,70
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M04;2,62
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M03;2,60
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M02;2,38
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M01;2,23
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M12;2,25
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M11;2,37
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M10;2,72
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M09;2,96
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M08;3,27
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M07;3,12
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M06;2,86
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M05;2,70
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M04;2,60
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M03;2,37
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M02;2,27
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M01;2,19
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M12;2,97
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M11;3,36
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M10;5,17
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M09;5,36
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M08;5,52
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M07;5,37
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M06;4,98
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M05;4,70
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M04;4,43
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M03;4,51
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M02;3,93
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2024M01;3,28
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M12;3,07
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M11;3,66
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M10;5,37
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M09;5,36
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M08;5,59
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M07;5,38
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M06;4,96
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M05;4,86
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M04;4,37
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M03;4,10
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M02;3,74
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;2023M01;3,13
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M12;2,14
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M11;2,17
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M10;2,71
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M09;3,10
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M08;3,39
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M07;3,27
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M06;3,01
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M05;2,82
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M04;2,61
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M03;2,40
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M02;2,37
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2024M01;2,28
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M12;2,18
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M11;2,23
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M10;2,68
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M09;3,00
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M08;3,40
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M07;3,16
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M06;2,79
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M05;2,69
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M04;2,58
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M03;2,41
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M02;2,44
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;2023M01;2,32
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M12;2,93
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M11;3,26
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M10;3,24
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M09;3,41
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M08;3,54
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M07;3,43
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M06;3,18
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M05;3,13
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M04;3,08
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M03;3,04
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M02;2,78
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2024M01;2,80
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M12;2,72
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M11;2,85
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M10;3,11
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M09;3,31
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M08;3,58
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M07;3,36
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M06;3,09
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M05;3,11
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M04;2,95
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M03;2,86
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M02;2,64
Encuesta de Ocupación Hotelera;Total Nacional;10 Comunitat Valenciana;2023M01;2,65
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M12;2,04
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M11;2,03
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M10;2,05
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M09;1,97
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M08;1,99
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M07;1,97
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M06;1,98
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M05;2,03
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M04;2,05
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M03;2,08
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M02;1,97
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2024M01;2,03
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M12;2,02
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M11;2,00
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M10;2,07
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M09;2,00
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M08;1,98
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M07;1,97
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M06;1,93
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M05;1,99
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M04;2,09
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M03;1,94
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M02;1,94
Encuesta de Ocupación Hotelera;Total Nacional;13 Madrid, Comunidad de;2023M01;1,96
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M12;6,94
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M11;6,06
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M10;4,13
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M09;3,95
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M08;4,63
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M07;4,04
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M06;3,71
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M05;3,53
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M04;4,37
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M03;5,14
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M02;6,09
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2024M01;7,65
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M12;6,15
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M11;5,99
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M10;4,13
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M09;3,71
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M08;4,13
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M07;3,93
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M06;3,27
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M05;3,78
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M04;3,53
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M03;5,12
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M02;6,02
Encuesta de Ocupación en Campings;Total Nacional;01 Andalucía;2023M01;6,38
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M12;.
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M11;.
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M10;.
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M09;5,00
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M08;6,34
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M07;6,04
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M06;4,60
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M05;3,77
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M04;.
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M03;.
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M02;.
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2024M01;.
Encuesta de Ocupación en Campings;Total Nacional;04 Balears, Illes;2023M12;.
