Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2025M01;528.371
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M12;646.530
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M11;675.397
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M10;796.871
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M09;991.041
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M08;1.264.244
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M07;1.132.902
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M06;1.107.683
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M05;1.013.290
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M04;874.296
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M03;865.895
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M02;705.236
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2024M01;569.160
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M12;710.935
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M11;673.931
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M10;881.182
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M09;1.040.799
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M08;1.352.621
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M07;1.280.780
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M06;1.118.880
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M05;920.523
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M04;980.532
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M03;804.822
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M02;700.088
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Viajero;2023M01;571.285
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2025M01;979.974
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M12;1.254.332
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M11;1.310.963
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M10;1.661.890
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M09;2.493.093
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M08;3.999.441
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M07;3.458.067
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M06;2.621.925
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M05;2.240.647
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M04;1.910.803
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M03;1.902.651
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M02;1.373.288
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2024M01;1.017.475
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M12;1.388.925
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M11;1.279.040
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M10;1.817.115
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M09;2.586.139
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M08;4.158.487
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M07;3.610.922
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M06;2.649.406
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M05;1.978.466
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M04;2.140.172
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M03;1.583.785
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M02;1.313.951
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en España;Pernoctaciones;2023M01;1.052.987
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2025M01;455.600
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M12;458.475
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M11;602.651
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M10;1.041.370
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M09;1.034.823
