Tipo de alojamiento;Viajeros y pernoctaciones;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M12;1.254.332
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M11;1.310.963
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M10;1.661.890
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M09;2.493.093
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M08;3.999.441
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M07;3.458.067
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M06;2.621.925
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M05;2.240.647
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M04;1.910.803
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M03;1.902.651
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M02;1.373.288
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M01;1.017.475
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M12;1.388.925
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M11;1.279.040
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M10;1.817.115
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M09;2.586.139
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M08;4.158.487
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M07;3.610.922
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M06;2.649.406
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M05;1.978.466
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M04;2.140.172
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M03;1.583.785
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M02;1.313.951
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M01;1.052.987
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M12;1.256.344
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M11;1.792.076
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M10;3.463.488
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M09;3.587.490
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M08;3.440.371
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M07;3.165.047
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M06;3.189.015
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M05;3.434.070
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M04;2.926.224
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M03;2.303.458
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M02;1.625.402
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M01;1.308.731
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M12;1.245.964
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M11;1.660.282
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M10;3.277.315
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M09;3.408.937
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M08;3.268.914
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M07;2.978.108
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M06;2.957.511
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M05;3.110.671
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M04;2.685.809
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M03;1.777.406
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M02;1.237.573
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M01;1.040.807
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M12;82.672
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M11;93.071
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M10;525.129
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M09;648.603
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M08;979.934
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M07;836.381
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M06;773.158
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M05;509.246
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M04;357.474
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M03;306.085
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M02;170.008
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M01;61.386
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M12;72.231
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M11;82.054
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M10;442.356
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M09;652.248
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M08;1.043.279
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M07;974.544
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M06;889.859
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M05;644.969
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M04;297.000
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M03;173.879
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M02;140.170
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M01;85.942
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M12;215.244
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M11;312.019
