Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2025M03;6,17
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2025M02;5,58
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2025M01;8,15
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M12;4,46
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M11;4,54
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M10;5,47
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M09;8,26
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M08;9,03
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M07;7,84
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M06;8,84
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M05;6,78
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M04;8,01
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M03;16,23
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M02;8,38
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2024M01;6,33
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M12;4,23
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M11;5,70
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M10;6,34
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M09;8,51
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M08;8,50
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M07;9,82
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M06;10,19
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M05;6,39
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M04;10,93
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M03;5,39
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M02;7,24
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2023M01;4,73
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M12;5,48
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M11;6,36
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M10;6,97
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M09;9,26
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M08;10,20
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M07;11,56
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M06;8,67
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M05;7,06
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M04;6,17
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M03;9,65
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M02;9,89
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Viajero;2022M01;5,15
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2025M03;6,36
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2025M02;7,31
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2025M01;6,58
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M12;4,37
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M11;4,39
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M10;4,66
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M09;8,20
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M08;8,47
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M07;8,24
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M06;7,74
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M05;7,06
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M04;7,93
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M03;29,00
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M02;11,39
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2024M01;6,61
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M12;4,70
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M11;5,98
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M10;5,40
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M09;7,89
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M08;8,26
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M07;8,99
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M06;9,87
