Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Periodo	Total
Total Nacional			2025M03	2,91
Total Nacional			2025M02	2,82
Total Nacional			2025M01	2,93
Total Nacional			2024M12	2,75
Total Nacional			2024M11	2,8
Total Nacional			2024M10	3,15
Total Nacional			2024M09	3,3
Total Nacional			2024M08	3,53
Total Nacional			2024M07	3,47
Total Nacional			2024M06	3,21
Total Nacional			2024M05	3,04
Total Nacional			2024M04	2,89
Total Nacional			2024M03	2,91
Total Nacional			2024M02	2,85
Total Nacional			2024M01	2,91
Total Nacional			2023M12	2,72
Total Nacional			2023M11	2,8
Total Nacional			2023M10	3,12
Total Nacional			2023M09	3,27
Total Nacional			2023M08	3,52
Total Nacional			2023M07	3,4
Total Nacional			2023M06	3,14
Total Nacional			2023M05	3,04
Total Nacional			2023M04	2,85
Total Nacional			2023M03	2,8
Total Nacional			2023M02	2,82
Total Nacional			2023M01	2,88
Total Nacional			2022M12	2,75
Total Nacional			2022M11	2,81
Total Nacional			2022M10	3,07
Total Nacional			2022M09	3,26
Total Nacional			2022M08	3,58
Total Nacional			2022M07	3,43
Total Nacional			2022M06	3,19
Total Nacional			2022M05	3
Total Nacional			2022M04	2,9
Total Nacional			2022M03	2,91
Total Nacional			2022M02	2,65
Total Nacional			2022M01	2,81
Total Nacional			2021M12	2,71
Total Nacional			2021M11	2,77
Total Nacional			2021M10	2,94
Total Nacional			2021M09	3,11
Total Nacional			2021M08	3,31
Total Nacional			2021M07	3,08
Total Nacional			2021M06	2,51
Total Nacional			2021M05	2,16
Total Nacional			2021M04	2,12
Total Nacional			2021M03	2,03
Total Nacional			2021M02	2,07
Total Nacional			2021M01	2,19
Total Nacional			2020M12	2,29
Total Nacional			2020M11	2,43
Total Nacional			2020M10	2,13
Total Nacional			2020M09	2,34
Total Nacional			2020M08	2,86
Total Nacional			2020M07	2,66
Total Nacional			2020M06	1,98
Total Nacional			2020M05	2,75
Total Nacional			2020M04	0
Total Nacional			2020M03	3,15
Total Nacional			2020M02	2,73
Total Nacional			2020M01	2,86
Total Nacional			2019M12	2,72
Total Nacional			2019M11	2,74
Total Nacional			2019M10	3,11
Total Nacional			2019M09	3,4
Total Nacional			2019M08	3,61
Total Nacional			2019M07	3,56
Total Nacional			2019M06	3,27
Total Nacional			2019M05	3,04
Total Nacional			2019M04	2,93
Total Nacional			2019M03	2,86
Total Nacional			2019M02	2,76
Total Nacional			2019M01	2,95
Total Nacional			2018M12	2,74
Total Nacional			2018M11	2,82
Total Nacional			2018M10	3,22
Total Nacional			2018M09	3,43
Total Nacional			2018M08	3,7
Total Nacional			2018M07	3,65
Total Nacional			2018M06	3,33
Total Nacional			2018M05	3,18
Total Nacional			2018M04	2,97
Total Nacional			2018M03	2,91
Total Nacional			2018M02	2,84
Total Nacional			2018M01	3
Total Nacional			2017M12	2,79
Total Nacional			2017M11	2,89
Total Nacional			2017M10	3,27
Total Nacional			2017M09	3,47
Total Nacional			2017M08	3,78
Total Nacional			2017M07	3,66
Total Nacional			2017M06	3,44
Total Nacional			2017M05	3,19
Total Nacional			2017M04	2,99
Total Nacional			2017M03	2,96
Total Nacional			2017M02	2,87
Total Nacional			2017M01	3,05
Total Nacional			2016M12	2,89
Total Nacional			2016M11	2,96
Total Nacional			2016M10	3,3
Total Nacional			2016M09	3,55
Total Nacional			2016M08	3,82
Total Nacional			2016M07	3,7
Total Nacional			2016M06	3,38
Total Nacional			2016M05	3,18
Total Nacional			2016M04	2,98
Total Nacional			2016M03	3,05
Total Nacional			2016M02	2,95
Total Nacional			2016M01	3,09
Total Nacional			2015M12	2,83
Total Nacional			2015M11	2,88
Total Nacional			2015M10	3,23
Total Nacional			2015M09	3,58
Total Nacional			2015M08	3,81
Total Nacional			2015M07	3,75
Total Nacional			2015M06	3,38
Total Nacional			2015M05	3,09
Total Nacional			2015M04	3,01
Total Nacional			2015M03	3,03
Total Nacional			2015M02	2,94
Total Nacional			2015M01	3,14
Total Nacional			2014M12	2,81
Total Nacional			2014M11	2,94
Total Nacional			2014M10	3,29
Total Nacional			2014M09	3,62
Total Nacional			2014M08	3,83
Total Nacional			2014M07	3,81
Total Nacional			2014M06	3,49
Total Nacional			2014M05	3,13
Total Nacional			2014M04	3,05
Total Nacional			2014M03	3,14
Total Nacional			2014M02	2,98
Total Nacional			2014M01	3,25
Total Nacional			2013M12	2,92
Total Nacional			2013M11	2,95
Total Nacional			2013M10	3,35
Total Nacional			2013M09	3,67
Total Nacional			2013M08	3,91
Total Nacional			2013M07	3,91
Total Nacional			2013M06	3,53
Total Nacional			2013M05	3,25
Total Nacional			2013M04	3,05
Total Nacional			2013M03	3,05
Total Nacional			2013M02	3,01
Total Nacional			2013M01	3,22
Total Nacional			2012M12	2,86
Total Nacional			2012M11	2,9
Total Nacional			2012M10	3,29
Total Nacional			2012M09	3,66
Total Nacional			2012M08	3,96
Total Nacional			2012M07	3,89
Total Nacional			2012M06	3,52
Total Nacional			2012M05	3,19
Total Nacional			2012M04	3,02
Total Nacional			2012M03	3,01
Total Nacional			2012M02	2,97
Total Nacional			2012M01	3,12
Total Nacional			2011M12	2,84
Total Nacional			2011M11	2,99
Total Nacional			2011M10	3,23
Total Nacional			2011M09	3,6
Total Nacional			2011M08	3,93
Total Nacional			2011M07	3,78
Total Nacional			2011M06	3,49
Total Nacional			2011M05	3,16
Total Nacional			2011M04	3,05
Total Nacional			2011M03	3,1
Total Nacional			2011M02	2,95
Total Nacional			2011M01	3,1
Total Nacional			2010M12	2,75
Total Nacional			2010M11	2,89
Total Nacional			2010M10	3,12
Total Nacional			2010M09	3,54
Total Nacional			2010M08	3,9
Total Nacional			2010M07	3,71
Total Nacional			2010M06	3,38
Total Nacional			2010M05	3,07
Total Nacional			2010M04	2,92
Total Nacional			2010M03	2,94
Total Nacional			2010M02	2,84
Total Nacional			2010M01	3
Total Nacional			2009M12	2,71
Total Nacional			2009M11	2,81
Total Nacional			2009M10	3,1
Total Nacional			2009M09	3,5
Total Nacional			2009M08	3,84
Total Nacional			2009M07	3,76
Total Nacional			2009M06	3,42
Total Nacional			2009M05	3,07
Total Nacional			2009M04	2,99
Total Nacional			2009M03	2,93
Total Nacional			2009M02	2,82
Total Nacional			2009M01	3,01
Total Nacional			2008M12	2,76
Total Nacional			2008M11	2,81
Total Nacional			2008M10	3,16
Total Nacional			2008M09	3,51
Total Nacional			2008M08	3,81
Total Nacional			2008M07	3,75
Total Nacional			2008M06	3,35
Total Nacional			2008M05	3,09
Total Nacional			2008M04	2,9
Total Nacional			2008M03	2,91
Total Nacional			2008M02	2,83
Total Nacional			2008M01	2,94
Total Nacional			2007M12	2,8
Total Nacional			2007M11	2,76
Total Nacional			2007M10	3,11
Total Nacional			2007M09	3,5
Total Nacional			2007M08	3,8
Total Nacional			2007M07	3,74
Total Nacional			2007M06	3,33
Total Nacional			2007M05	3,07
Total Nacional			2007M04	2,93
Total Nacional			2007M03	2,83
Total Nacional			2007M02	2,79
Total Nacional			2007M01	2,97
Total Nacional			2006M12	2,81
Total Nacional			2006M11	2,79
Total Nacional			2006M10	3,18
Total Nacional			2006M09	3,55
Total Nacional			2006M08	3,87
Total Nacional			2006M07	3,77
Total Nacional			2006M06	3,43
Total Nacional			2006M05	3,13
Total Nacional			2006M04	2,9
Total Nacional			2006M03	2,84
Total Nacional			2006M02	2,81
Total Nacional			2006M01	3,02
Total Nacional			2005M12	2,87
Total Nacional			2005M11	2,92
Total Nacional			2005M10	3,46
Total Nacional			2005M09	3,8
Total Nacional			2005M08	4,19
Total Nacional			2005M07	3,98
Total Nacional			2005M06	3,59
Total Nacional			2005M05	3,31
Total Nacional			2005M04	2,99
Total Nacional			2005M03	3,08
Total Nacional			2005M02	3,07
Total Nacional			2005M01	3,3
Total Nacional			2004M12	2,94
Total Nacional			2004M11	2,97
Total Nacional			2004M10	3,4
Total Nacional			2004M09	3,84
Total Nacional			2004M08	4,22
Total Nacional			2004M07	4,03
Total Nacional			2004M06	3,64
Total Nacional			2004M05	3,32
Total Nacional			2004M04	3,14
Total Nacional			2004M03	3,11
Total Nacional			2004M02	3,09
Total Nacional			2004M01	3,3
Total Nacional			2003M12	2,91
Total Nacional			2003M11	3
Total Nacional			2003M10	3,55
Total Nacional			2003M09	3,98
Total Nacional			2003M08	4,4
Total Nacional			2003M07	4,2
Total Nacional			2003M06	3,83
Total Nacional			2003M05	3,51
Total Nacional			2003M04	3,23
Total Nacional			2003M03	3,26
Total Nacional			2003M02	3,21
Total Nacional			2003M01	3,4
Total Nacional			2002M12	3,03
Total Nacional			2002M11	3,11
Total Nacional			2002M10	3,62
Total Nacional			2002M09	4,09
Total Nacional			2002M08	4,35
Total Nacional			2002M07	4,32
Total Nacional			2002M06	3,98
Total Nacional			2002M05	3,6
Total Nacional			2002M04	3,25
Total Nacional			2002M03	3,31
Total Nacional			2002M02	3,28
Total Nacional			2002M01	3,41
Total Nacional			2001M12	3,13
Total Nacional			2001M11	3,26
Total Nacional			2001M10	3,77
Total Nacional			2001M09	4,22
Total Nacional			2001M08	4,46
Total Nacional			2001M07	4,47
Total Nacional			2001M06	4,04
Total Nacional			2001M05	3,71
Total Nacional			2001M04	3,36
Total Nacional			2001M03	3,35
Total Nacional			2001M02	3,34
Total Nacional			2001M01	3,37
Total Nacional			2000M12	3,1
Total Nacional			2000M11	3,2
Total Nacional			2000M10	3,8
Total Nacional			2000M09	4,1
Total Nacional			2000M08	4,5
Total Nacional			2000M07	4,4
Total Nacional			2000M06	4,2
Total Nacional			2000M05	3,8
Total Nacional			2000M04	3,4
Total Nacional			2000M03	3,4
Total Nacional			2000M02	3,4
