Países	Viajeros y pernoctaciones	Periodo	Total
Total	Viajero	2025M03	7680722
Total	Viajero	2025M02	6539960
Total	Viajero	2025M01	5776075
Total	Viajero	2024M12	6553489
Total	Viajero	2024M11	7171221
Total	Viajero	2024M10	10774309
Total	Viajero	2024M09	11821379
Total	Viajero	2024M08	13586095
Total	Viajero	2024M07	12703213
Total	Viajero	2024M06	11905082
Total	Viajero	2024M05	11776729
Total	Viajero	2024M04	9394506
Total	Viajero	2024M03	8433226
Total	Viajero	2024M02	6512168
Total	Viajero	2024M01	5660859
Total	Viajero	2023M12	6586138
Total	Viajero	2023M11	6798815
Total	Viajero	2023M10	10390441
Total	Viajero	2023M09	11627872
Total	Viajero	2023M08	13266497
Total	Viajero	2023M07	12680483
Total	Viajero	2023M06	11535550
Total	Viajero	2023M05	10580202
Total	Viajero	2023M04	9829384
Total	Viajero	2023M03	7361364
Total	Viajero	2023M02	5967064
Total	Viajero	2023M01	5367962
Total	Viajero	2022M12	6054556
Total	Viajero	2022M11	6284698
Total	Viajero	2022M10	9743259
Total	Viajero	2022M09	11050305
Total	Viajero	2022M08	12889916
Total	Viajero	2022M07	12292936
Total	Viajero	2022M06	10990468
Total	Viajero	2022M05	9920671
Total	Viajero	2022M04	8689822
Total	Viajero	2022M03	6061398
Total	Viajero	2022M02	5133961
Total	Viajero	2022M01	3770578
Total	Viajero	2021M12	4881952
Total	Viajero	2021M11	5391958
Total	Viajero	2021M10	8131666
Total	Viajero	2021M09	8256057
Total	Viajero	2021M08	10408035
Total	Viajero	2021M07	8544001
Total	Viajero	2021M06	5676067
Total	Viajero	2021M05	3404118
Total	Viajero	2021M04	1955719
Total	Viajero	2021M03	1770722
Total	Viajero	2021M02	1179236
Total	Viajero	2021M01	1124601
Total	Viajero	2020M12	1417815
Total	Viajero	2020M11	1184922
Total	Viajero	2020M10	2406759
Total	Viajero	2020M09	3513294
Total	Viajero	2020M08	5924218
Total	Viajero	2020M07	4407783
Total	Viajero	2020M06	944923
Total	Viajero	2020M05	98561
Total	Viajero	2020M04	0
Total	Viajero	2020M03	2656776
Total	Viajero	2020M02	6456402
Total	Viajero	2020M01	5577618
Total	Viajero	2019M12	6240788
Total	Viajero	2019M11	6693210
Total	Viajero	2019M10	9772631
Total	Viajero	2019M09	11038778
Total	Viajero	2019M08	13028096
Total	Viajero	2019M07	12124664
Total	Viajero	2019M06	11371775
Total	Viajero	2019M05	10509949
Total	Viajero	2019M04	9138989
Total	Viajero	2019M03	7534311
Total	Viajero	2019M02	6011298
Total	Viajero	2019M01	5251558
Total	Viajero	2018M12	6071139
Total	Viajero	2018M11	6485702
Total	Viajero	2018M10	9666570
Total	Viajero	2018M09	11000902
Total	Viajero	2018M08	12500596
Total	Viajero	2018M07	11707840
Total	Viajero	2018M06	10846347
Total	Viajero	2018M05	10040281
Total	Viajero	2018M04	8499926
Total	Viajero	2018M03	7532288
Total	Viajero	2018M02	5826145
Total	Viajero	2018M01	5133729
Total	Viajero	2017M12	5805767
Total	Viajero	2017M11	6068289
Total	Viajero	2017M10	9458368
Total	Viajero	2017M09	10933324
Total	Viajero	2017M08	12338502
Total	Viajero	2017M07	11910574
Total	Viajero	2017M06	10640606
Total	Viajero	2017M05	9844007
Total	Viajero	2017M04	9209286
Total	Viajero	2017M03	6921086
Total	Viajero	2017M02	5689624
Total	Viajero	2017M01	4984634
Total	Viajero	2016M12	5540097
Total	Viajero	2016M11	5786675
Total	Viajero	2016M10	9274924
Total	Viajero	2016M09	10486719
Total	Viajero	2016M08	12187504
Total	Viajero	2016M07	11605320
Total	Viajero	2016M06	10180427
Total	Viajero	2016M05	9569945
Total	Viajero	2016M04	7735455
Total	Viajero	2016M03	7221796
Total	Viajero	2016M02	5561906
Total	Viajero	2016M01	4689264
Total	Viajero	2015M12	5318037
Total	Viajero	2015M11	5509265
Total	Viajero	2015M10	8685869
Total	Viajero	2015M09	9766395
Total	Viajero	2015M08	11747649
Total	Viajero	2015M07	10616662
Total	Viajero	2015M06	9481768
Total	Viajero	2015M05	9087139
Total	Viajero	2015M04	7668482
Total	Viajero	2015M03	6146078
Total	Viajero	2015M02	4937718
Total	Viajero	2015M01	4251906
Total	Viajero	2014M12	4998810
Total	Viajero	2014M11	5144062
Total	Viajero	2014M10	7988684
Total	Viajero	2014M09	9342635
Total	Viajero	2014M08	11228638
Total	Viajero	2014M07	9885449
Total	Viajero	2014M06	9038987
Total	Viajero	2014M05	8518421
Total	Viajero	2014M04	7301730
Total	Viajero	2014M03	5770836
Total	Viajero	2014M02	4657133
Total	Viajero	2014M01	3939144
Total	Viajero	2013M12	4659511
Total	Viajero	2013M11	5112181
Total	Viajero	2013M10	7468192
Total	Viajero	2013M09	8886542
Total	Viajero	2013M08	10715764
Total	Viajero	2013M07	9644412
Total	Viajero	2013M06	8725022
Total	Viajero	2013M05	8113029
Total	Viajero	2013M04	6283128
Total	Viajero	2013M03	6171037
Total	Viajero	2013M02	4347642
Total	Viajero	2013M01	3694459
Total	Viajero	2012M12	4334680
Total	Viajero	2012M11	4772075
Total	Viajero	2012M10	7258395
Total	Viajero	2012M09	8756163
Total	Viajero	2012M08	10239776
Total	Viajero	2012M07	9616052
Total	Viajero	2012M06	8587613
