Puntos turísticos;Periodo;Total
08019 Barcelona;2025M03;2,42
08019 Barcelona;2025M02;2,41
08019 Barcelona;2025M01;2,45
08019 Barcelona;2024M12;2,42
08019 Barcelona;2024M11;2,43
08019 Barcelona;2024M10;2,50
08019 Barcelona;2024M09;2,60
08019 Barcelona;2024M08;2,79
08019 Barcelona;2024M07;2,66
08019 Barcelona;2024M06;2,62
08019 Barcelona;2024M05;2,59
08019 Barcelona;2024M04;2,64
08019 Barcelona;2024M03;2,62
08019 Barcelona;2024M02;2,62
08019 Barcelona;2024M01;2,51
08019 Barcelona;2023M12;2,49
08019 Barcelona;2023M11;2,53
08019 Barcelona;2023M10;2,60
08019 Barcelona;2023M09;2,63
08019 Barcelona;2023M08;2,86
08019 Barcelona;2023M07;2,72
08019 Barcelona;2023M06;2,55
08019 Barcelona;2023M05;2,55
08019 Barcelona;2023M04;2,72
08019 Barcelona;2023M03;2,61
08019 Barcelona;2023M02;2,69
08019 Barcelona;2023M01;2,56
08019 Barcelona;2022M12;2,49
08019 Barcelona;2022M11;2,55
08019 Barcelona;2022M10;2,60
08019 Barcelona;2022M09;2,60
08019 Barcelona;2022M08;2,93
08019 Barcelona;2022M07;2,78
08019 Barcelona;2022M06;2,79
08019 Barcelona;2022M05;2,73
08019 Barcelona;2022M04;2,72
08019 Barcelona;2022M03;2,65
08019 Barcelona;2022M02;2,49
08019 Barcelona;2022M01;2,48
08019 Barcelona;2021M12;2,45
08019 Barcelona;2021M11;2,53
08019 Barcelona;2021M10;2,60
08019 Barcelona;2021M09;2,62
08019 Barcelona;2021M08;2,94
08019 Barcelona;2021M07;2,80
08019 Barcelona;2021M06;2,39
08019 Barcelona;2021M05;2,21
08019 Barcelona;2021M04;2,11
08019 Barcelona;2021M03;1,88
08019 Barcelona;2021M02;1,81
08019 Barcelona;2021M01;1,93
08019 Barcelona;2020M12;1,70
08019 Barcelona;2020M11;1,77
08019 Barcelona;2020M10;2,01
08019 Barcelona;2020M09;1,99
08019 Barcelona;2020M08;2,23
08019 Barcelona;2020M07;2,34
08019 Barcelona;2020M06;.
08019 Barcelona;2020M05;.
08019 Barcelona;2020M04;0,00
08019 Barcelona;2020M03;2,49
08019 Barcelona;2020M02;2,33
08019 Barcelona;2020M01;2,43
28079 Madrid;2025M03;2,07
28079 Madrid;2025M02;2,01
28079 Madrid;2025M01;2,05
28079 Madrid;2024M12;2,01
28079 Madrid;2024M11;2,01
28079 Madrid;2024M10;2,05
28079 Madrid;2024M09;2,02
28079 Madrid;2024M08;1,98
28079 Madrid;2024M07;1,92
28079 Madrid;2024M06;1,95
28079 Madrid;2024M05;2,03
28079 Madrid;2024M04;2,05
28079 Madrid;2024M03;2,05
28079 Madrid;2024M02;1,98
28079 Madrid;2024M01;2,03
28079 Madrid;2023M12;1,99
28079 Madrid;2023M11;1,98
28079 Madrid;2023M10;2,08
28079 Madrid;2023M09;2,02
28079 Madrid;2023M08;2,02
28079 Madrid;2023M07;2,00
28079 Madrid;2023M06;1,98
28079 Madrid;2023M05;2,06
28079 Madrid;2023M04;2,16
28079 Madrid;2023M03;1,98
28079 Madrid;2023M02;1,98
28079 Madrid;2023M01;2,02
28079 Madrid;2022M12;2,02
28079 Madrid;2022M11;1,98
28079 Madrid;2022M10;2,11
