Zonas  Turísticas;Periodo;Total
Baleares (Illes): Isla De Mallorca;2025M03;4,39
Baleares (Illes): Isla De Mallorca;2025M02;3,72
Baleares (Illes): Isla De Mallorca;2025M01;3,73
Baleares (Illes): Isla De Mallorca;2024M12;3,08
Baleares (Illes): Isla De Mallorca;2024M11;3,51
Baleares (Illes): Isla De Mallorca;2024M10;5,19
Baleares (Illes): Isla De Mallorca;2024M09;5,52
Baleares (Illes): Isla De Mallorca;2024M08;5,75
Baleares (Illes): Isla De Mallorca;2024M07;5,61
Baleares (Illes): Isla De Mallorca;2024M06;5,20
Baleares (Illes): Isla De Mallorca;2024M05;4,91
Baleares (Illes): Isla De Mallorca;2024M04;4,54
Baleares (Illes): Isla De Mallorca;2024M03;4,59
Baleares (Illes): Isla De Mallorca;2024M02;4,17
Baleares (Illes): Isla De Mallorca;2024M01;3,51
Baleares (Illes): Isla De Mallorca;2023M12;3,26
Baleares (Illes): Isla De Mallorca;2023M11;3,86
Baleares (Illes): Isla De Mallorca;2023M10;5,58
Baleares (Illes): Isla De Mallorca;2023M09;5,58
Baleares (Illes): Isla De Mallorca;2023M08;5,83
Baleares (Illes): Isla De Mallorca;2023M07;5,61
Baleares (Illes): Isla De Mallorca;2023M06;5,03
Baleares (Illes): Isla De Mallorca;2023M05;5,00
Baleares (Illes): Isla De Mallorca;2023M04;4,47
Baleares (Illes): Isla De Mallorca;2023M03;4,24
Baleares (Illes): Isla De Mallorca;2023M02;3,87
Baleares (Illes): Isla De Mallorca;2023M01;3,25
Baleares (Illes): Isla De Mallorca;2022M12;3,20
Baleares (Illes): Isla De Mallorca;2022M11;3,77
Baleares (Illes): Isla De Mallorca;2022M10;5,32
Baleares (Illes): Isla De Mallorca;2022M09;5,53
Baleares (Illes): Isla De Mallorca;2022M08;5,90
Baleares (Illes): Isla De Mallorca;2022M07;5,61
Baleares (Illes): Isla De Mallorca;2022M06;5,30
Baleares (Illes): Isla De Mallorca;2022M05;4,71
Baleares (Illes): Isla De Mallorca;2022M04;4,63
Baleares (Illes): Isla De Mallorca;2022M03;4,16
Baleares (Illes): Isla De Mallorca;2022M02;3,47
Baleares (Illes): Isla De Mallorca;2022M01;3,20
Baleares (Illes): Isla De Mallorca;2021M12;3,03
Baleares (Illes): Isla De Mallorca;2021M11;3,82
Baleares (Illes): Isla De Mallorca;2021M10;5,31
Baleares (Illes): Isla De Mallorca;2021M09;5,44
Baleares (Illes): Isla De Mallorca;2021M08;5,75
Baleares (Illes): Isla De Mallorca;2021M07;5,68
Baleares (Illes): Isla De Mallorca;2021M06;4,48
Baleares (Illes): Isla De Mallorca;2021M05;4,32
Baleares (Illes): Isla De Mallorca;2021M04;3,95
Baleares (Illes): Isla De Mallorca;2021M03;3,14
Baleares (Illes): Isla De Mallorca;2021M02;2,22
Baleares (Illes): Isla De Mallorca;2021M01;2,59
Baleares (Illes): Isla De Mallorca;2020M12;2,36
Baleares (Illes): Isla De Mallorca;2020M11;2,21
