Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
08019 Barcelona;Viajero;Residentes en España;2025M03;136.856
08019 Barcelona;Viajero;Residentes en España;2025M02;132.915
08019 Barcelona;Viajero;Residentes en España;2025M01;124.822
08019 Barcelona;Viajero;Residentes en España;2024M12;146.746
08019 Barcelona;Viajero;Residentes en España;2024M11;141.930
08019 Barcelona;Viajero;Residentes en España;2024M10;126.791
08019 Barcelona;Viajero;Residentes en España;2024M09;109.708
08019 Barcelona;Viajero;Residentes en España;2024M08;85.504
08019 Barcelona;Viajero;Residentes en España;2024M07;116.447
08019 Barcelona;Viajero;Residentes en España;2024M06;113.789
08019 Barcelona;Viajero;Residentes en España;2024M05;117.270
08019 Barcelona;Viajero;Residentes en España;2024M04;114.569
08019 Barcelona;Viajero;Residentes en España;2024M03;133.896
08019 Barcelona;Viajero;Residentes en España;2024M02;125.927
08019 Barcelona;Viajero;Residentes en España;2024M01;124.769
08019 Barcelona;Viajero;Residentes en España;2023M12;142.849
08019 Barcelona;Viajero;Residentes en España;2023M11;136.749
08019 Barcelona;Viajero;Residentes en España;2023M10;128.511
08019 Barcelona;Viajero;Residentes en España;2023M09;110.334
08019 Barcelona;Viajero;Residentes en España;2023M08;92.500
08019 Barcelona;Viajero;Residentes en España;2023M07;133.720
08019 Barcelona;Viajero;Residentes en España;2023M06;127.237
08019 Barcelona;Viajero;Residentes en España;2023M05;142.258
08019 Barcelona;Viajero;Residentes en España;2023M04;125.368
08019 Barcelona;Viajero;Residentes en España;2023M03;154.063
08019 Barcelona;Viajero;Residentes en España;2023M02;134.687
08019 Barcelona;Viajero;Residentes en España;2023M01;142.686
08019 Barcelona;Viajero;Residentes en España;2022M12;152.465
08019 Barcelona;Viajero;Residentes en España;2022M11;150.835
08019 Barcelona;Viajero;Residentes en España;2022M10;139.998
08019 Barcelona;Viajero;Residentes en España;2022M09;121.281
08019 Barcelona;Viajero;Residentes en España;2022M08;96.358
08019 Barcelona;Viajero;Residentes en España;2022M07;131.917
08019 Barcelona;Viajero;Residentes en España;2022M06;116.100
08019 Barcelona;Viajero;Residentes en España;2022M05;121.543
08019 Barcelona;Viajero;Residentes en España;2022M04;144.248
08019 Barcelona;Viajero;Residentes en España;2022M03;141.363
08019 Barcelona;Viajero;Residentes en España;2022M02;122.095
08019 Barcelona;Viajero;Residentes en España;2022M01;104.096
08019 Barcelona;Viajero;Residentes en España;2021M12;144.342
08019 Barcelona;Viajero;Residentes en España;2021M11;125.077
08019 Barcelona;Viajero;Residentes en España;2021M10;131.297
08019 Barcelona;Viajero;Residentes en España;2021M09;102.312
08019 Barcelona;Viajero;Residentes en España;2021M08;94.878
08019 Barcelona;Viajero;Residentes en España;2021M07;100.090
08019 Barcelona;Viajero;Residentes en España;2021M06;88.706
08019 Barcelona;Viajero;Residentes en España;2021M05;75.615
08019 Barcelona;Viajero;Residentes en España;2021M04;59.229
08019 Barcelona;Viajero;Residentes en España;2021M03;64.146
08019 Barcelona;Viajero;Residentes en España;2021M02;55.121
08019 Barcelona;Viajero;Residentes en España;2021M01;42.324
08019 Barcelona;Viajero;Residentes en España;2020M12;52.677
08019 Barcelona;Viajero;Residentes en España;2020M11;35.899
08019 Barcelona;Viajero;Residentes en España;2020M10;41.402
08019 Barcelona;Viajero;Residentes en España;2020M09;45.474
08019 Barcelona;Viajero;Residentes en España;2020M08;35.260
08019 Barcelona;Viajero;Residentes en España;2020M07;35.238
08019 Barcelona;Viajero;Residentes en España;2020M06;.
08019 Barcelona;Viajero;Residentes en España;2020M05;.
08019 Barcelona;Viajero;Residentes en España;2020M04;0
08019 Barcelona;Viajero;Residentes en España;2020M03;56.054
08019 Barcelona;Viajero;Residentes en España;2020M02;129.590
08019 Barcelona;Viajero;Residentes en España;2020M01;123.853
08019 Barcelona;Viajero;Residentes en el Extranjero;2025M03;574.012
08019 Barcelona;Viajero;Residentes en el Extranjero;2025M02;475.750
08019 Barcelona;Viajero;Residentes en el Extranjero;2025M01;442.680
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M12;451.049
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M11;515.142
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M10;640.982
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M09;602.092
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M08;700.734
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M07;683.748
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M06;636.553
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M05;677.123
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M04;609.582
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M03;565.435
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M02;462.908
08019 Barcelona;Viajero;Residentes en el Extranjero;2024M01;419.300
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M12;427.744
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M11;502.496
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M10;625.700
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M09;622.831
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M08;671.430
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M07;654.591
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M06;630.620
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M05;632.402
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M04;591.529
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M03;509.051
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M02;419.016
08019 Barcelona;Viajero;Residentes en el Extranjero;2023M01;381.111
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M12;389.578
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M11;444.662
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M10;606.738
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M09;591.844
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M08;617.726
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M07;613.917
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M06;583.224
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M05;574.378
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M04;516.579
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M03;400.273
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M02;300.610
08019 Barcelona;Viajero;Residentes en el Extranjero;2022M01;193.446
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M12;254.682
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M11;317.618
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M10;367.560
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M09;303.450
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M08;347.815
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M07;242.904
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M06;142.666
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M05;87.339
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M04;40.560
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M03;32.200
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M02;22.724
08019 Barcelona;Viajero;Residentes en el Extranjero;2021M01;22.102
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M12;26.262
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M11;16.385
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M10;34.510
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M09;42.397
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M08;67.299
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M07;65.129
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M06;.
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M05;.
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M04;0
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M03;168.314
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M02;453.608
08019 Barcelona;Viajero;Residentes en el Extranjero;2020M01;459.355
08019 Barcelona;Pernoctaciones;Residentes en España;2025M03;237.882
08019 Barcelona;Pernoctaciones;Residentes en España;2025M02;229.705
08019 Barcelona;Pernoctaciones;Residentes en España;2025M01;226.076
08019 Barcelona;Pernoctaciones;Residentes en España;2024M12;261.474
08019 Barcelona;Pernoctaciones;Residentes en España;2024M11;253.250
08019 Barcelona;Pernoctaciones;Residentes en España;2024M10;234.403
08019 Barcelona;Pernoctaciones;Residentes en España;2024M09;214.282
08019 Barcelona;Pernoctaciones;Residentes en España;2024M08;176.294
08019 Barcelona;Pernoctaciones;Residentes en España;2024M07;230.272
08019 Barcelona;Pernoctaciones;Residentes en España;2024M06;213.610
08019 Barcelona;Pernoctaciones;Residentes en España;2024M05;221.200
08019 Barcelona;Pernoctaciones;Residentes en España;2024M04;217.600
08019 Barcelona;Pernoctaciones;Residentes en España;2024M03;252.606
08019 Barcelona;Pernoctaciones;Residentes en España;2024M02;231.328
08019 Barcelona;Pernoctaciones;Residentes en España;2024M01;234.746
08019 Barcelona;Pernoctaciones;Residentes en España;2023M12;268.926
08019 Barcelona;Pernoctaciones;Residentes en España;2023M11;262.792
08019 Barcelona;Pernoctaciones;Residentes en España;2023M10;256.947
08019 Barcelona;Pernoctaciones;Residentes en España;2023M09;212.875
08019 Barcelona;Pernoctaciones;Residentes en España;2023M08;197.239
08019 Barcelona;Pernoctaciones;Residentes en España;2023M07;280.103
08019 Barcelona;Pernoctaciones;Residentes en España;2023M06;233.725
08019 Barcelona;Pernoctaciones;Residentes en España;2023M05;266.579
08019 Barcelona;Pernoctaciones;Residentes en España;2023M04;255.754
08019 Barcelona;Pernoctaciones;Residentes en España;2023M03;303.453
08019 Barcelona;Pernoctaciones;Residentes en España;2023M02;270.990
08019 Barcelona;Pernoctaciones;Residentes en España;2023M01;266.069
08019 Barcelona;Pernoctaciones;Residentes en España;2022M12;284.731
08019 Barcelona;Pernoctaciones;Residentes en España;2022M11;284.750
08019 Barcelona;Pernoctaciones;Residentes en España;2022M10;282.814
08019 Barcelona;Pernoctaciones;Residentes en España;2022M09;239.336
08019 Barcelona;Pernoctaciones;Residentes en España;2022M08;212.788
08019 Barcelona;Pernoctaciones;Residentes en España;2022M07;273.044
08019 Barcelona;Pernoctaciones;Residentes en España;2022M06;238.186
08019 Barcelona;Pernoctaciones;Residentes en España;2022M05;254.042
08019 Barcelona;Pernoctaciones;Residentes en España;2022M04;293.694
08019 Barcelona;Pernoctaciones;Residentes en España;2022M03;272.810
08019 Barcelona;Pernoctaciones;Residentes en España;2022M02;232.949
08019 Barcelona;Pernoctaciones;Residentes en España;2022M01;198.346
08019 Barcelona;Pernoctaciones;Residentes en España;2021M12;279.824
08019 Barcelona;Pernoctaciones;Residentes en España;2021M11;236.149
08019 Barcelona;Pernoctaciones;Residentes en España;2021M10;276.263
08019 Barcelona;Pernoctaciones;Residentes en España;2021M09;208.946
08019 Barcelona;Pernoctaciones;Residentes en España;2021M08;216.048
08019 Barcelona;Pernoctaciones;Residentes en España;2021M07;218.128
08019 Barcelona;Pernoctaciones;Residentes en España;2021M06;177.967
08019 Barcelona;Pernoctaciones;Residentes en España;2021M05;137.286
08019 Barcelona;Pernoctaciones;Residentes en España;2021M04;107.864
08019 Barcelona;Pernoctaciones;Residentes en España;2021M03;106.209
08019 Barcelona;Pernoctaciones;Residentes en España;2021M02;89.137
08019 Barcelona;Pernoctaciones;Residentes en España;2021M01;75.385
08019 Barcelona;Pernoctaciones;Residentes en España;2020M12;79.668
08019 Barcelona;Pernoctaciones;Residentes en España;2020M11;57.784
08019 Barcelona;Pernoctaciones;Residentes en España;2020M10;74.309
08019 Barcelona;Pernoctaciones;Residentes en España;2020M09;77.362
08019 Barcelona;Pernoctaciones;Residentes en España;2020M08;65.207
08019 Barcelona;Pernoctaciones;Residentes en España;2020M07;68.214
08019 Barcelona;Pernoctaciones;Residentes en España;2020M06;.
08019 Barcelona;Pernoctaciones;Residentes en España;2020M05;.
08019 Barcelona;Pernoctaciones;Residentes en España;2020M04;0
08019 Barcelona;Pernoctaciones;Residentes en España;2020M03;101.112
08019 Barcelona;Pernoctaciones;Residentes en España;2020M02;217.404
08019 Barcelona;Pernoctaciones;Residentes en España;2020M01;203.220
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2025M03;1.484.910
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2025M02;1.236.128
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2025M01;1.165.900
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M12;1.185.473
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M11;1.342.852
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M10;1.687.345
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M09;1.636.866
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M08;2.015.764
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M07;1.902.007
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M06;1.749.109
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M05;1.832.426
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M04;1.695.392
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M03;1.576.613
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M02;1.311.219
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2024M01;1.130.976
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M12;1.150.931
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M11;1.357.448
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M10;1.705.990
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M09;1.713.579
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M08;1.985.042
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M07;1.865.161
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M06;1.697.687
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M05;1.708.104
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M04;1.693.523
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M03;1.429.513
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M02;1.216.079
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2023M01;1.072.502
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M12;1.065.230
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M11;1.232.499
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M10;1.661.552
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M09;1.612.731
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M08;1.880.748
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M07;1.797.494
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M06;1.709.992
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M05;1.644.076
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M04;1.501.096
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M03;1.164.234
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M02;818.848
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2022M01;539.941
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M12;696.756
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M11;885.525
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M10;1.022.409
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M09;852.758
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M08;1.086.940
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M07;740.851
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M06;374.538
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M05;223.626
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M04;103.099
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M03;74.868
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M02;51.982
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2021M01;49.018
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M12;54.362
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M11;34.744
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M10;77.994
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M09;97.273
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M08;163.049
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M07;167.070
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M06;.
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M05;.
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M04;0
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M03;456.949
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M02;1.142.992
08019 Barcelona;Pernoctaciones;Residentes en el Extranjero;2020M01;1.215.293
28079 Madrid;Viajero;Residentes en España;2025M03;365.398
28079 Madrid;Viajero;Residentes en España;2025M02;360.508
