Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2025M03;224.683
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2025M02;162.469
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2025M01;136.542
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M12;147.887
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M11;158.379
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M10;378.812
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M09;488.831
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M08;665.394
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M07;595.471
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M06;526.872
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M05;485.568
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M04;324.331
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M03;242.817
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M02;146.071
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2024M01;125.212
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M12;160.939
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M11;150.172
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M10;385.596
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M09;496.403
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M08;636.179
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M07;590.663
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M06;514.135
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M05;443.609
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M04;414.955
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M03;187.875
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M02;145.938
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2023M01;122.352
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M12;155.444
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M11;139.248
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M10;351.089
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M09;453.933
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M08;628.238
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M07;588.305
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M06;509.322
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M05;379.462
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M04;329.552
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M03;148.484
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M02;148.373
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2022M01;111.627
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M12;145.152
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M11;134.474
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M10;293.218
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M09;338.181
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M08;577.762
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M07;430.850
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M06;294.814
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M05;169.103
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M04;67.238
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M03;67.372
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M02;28.130
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2021M01;29.191
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M12;37.523
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M11;21.251
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M10;94.514
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M09;234.219
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M08;432.036
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M07;305.377
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M06;61.777
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M05;1.301
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M04;0
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M03;68.175
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M02;158.999
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;;2020M01;112.274
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2025M03;123.850
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2025M02;89.278
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2025M01;77.019
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M12;90.335
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M11;87.089
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M10;124.055
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M09;153.476
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M08;257.099
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M07;200.566
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M06;224.004
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M05;170.800
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M04;110.893
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M03;132.842
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M02;77.554
