Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2025M03;88.500
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2025M02;44.950
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2025M01;22.896
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M12;35.248
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M11;30.552
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M10;106.525
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M09;97.144
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M08;128.047
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M07;112.006
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M06;130.075
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M05;105.269
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M04;92.666
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M03;91.408
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M02;45.852
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2024M01;22.058
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M12;25.082
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M11;30.735
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M10;93.199
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M09;97.212
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M08;129.903
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M07;120.245
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M06;141.743
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M05;114.782
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M04;86.234
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M03;49.979
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M02;43.514
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en España;2023M01;29.307
